concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000010001,"Ultralente Insulin, Human 100 UNT/ML [Humulin U Ultralente]",Drug,mimiciv_drug_ndc,Prescription Drug,,Ultralente Humulin Insulin 100 units per ml,1970-01-01,2099-12-31,
2000010002,Vitamin B 12 0.5 MG/ACTUAT Nasal Spray [Nascobal],Drug,mimiciv_drug_ndc,Prescription Drug,,Nascobal 500mcg,1970-01-01,2099-12-31,
2000010003,Brimonidine tartrate 2 MG/ML / Timolol 5 MG/ML [Combigan],Drug,mimiciv_drug_ndc,Prescription Drug,,Combigan 0.2-0.5%,1970-01-01,2099-12-31,
2000010004,2.5 ML defibrotide sodium 80 MG/ML Injection,Drug,mimiciv_drug_ndc,Prescription Drug,,Defibrotide <IND> 80 mg / mL - 2.5 mL Amp,1970-01-01,2099-12-31,
2000010005,Budesonide 0.5 MG/ML,Drug,mimiciv_drug_ndc,Prescription Drug,,Budesonide (Nasal) 0.5mg,1970-01-01,2099-12-31,
2000010006,Carbidopa Oral Tablet [Lodosyn],Drug,mimiciv_drug_ndc,Prescription Drug,,Lodosyn 5O MG,1970-01-01,2099-12-31,
2000010007,Acetylcysteine 100 MG/ML,Drug,mimiciv_drug_ndc,Prescription Drug,,acetylcysteine 100 mg/ml,1970-01-01,2099-12-31,
2000010008,Budesonide 0.25 MG/ML,Drug,mimiciv_drug_ndc,Prescription Drug,,budesonide 0.5 mg/2 mL Neb Suspension,1970-01-01,2099-12-31,
2000010009,Maprotiline,Drug,mimiciv_drug_ndc,Prescription Drug,,Maprotiline HCl 100,1970-01-01,2099-12-31,
2000010010,budesonide,Drug,mimiciv_drug_ndc,Prescription Drug,,Pulmicort ea,1970-01-01,2099-12-31,
2000010011,ezetimibe 10 MG / Simvastatin 20 MG [Vytorin],Drug,mimiciv_drug_ndc,Prescription Drug,,Vytorin 10/20 1,1970-01-01,2099-12-31,
2000010012,rosuvastatin Oral Tablet [Crestor],Drug,mimiciv_drug_ndc,Prescription Drug,,Crestor ROSUVASTATIN ,1970-01-01,2099-12-31,
2000010013,Thrombin,Drug,mimiciv_drug_ndc,Prescription Drug,,"Thrombin 5,000 units",1970-01-01,2099-12-31,
2000010014,Loratadine 10 MG Oral Tablet [Claritin],Drug,mimiciv_drug_ndc,Prescription Drug,,Claritin 10 mg tablet,1970-01-01,2099-12-31,
2000010015,Acetylcysteine 200 MG/ML,Drug,mimiciv_drug_ndc,Prescription Drug,,Acetylcysteine 20% 30ml Vial,1970-01-01,2099-12-31,
2000010016,prednisolone acetate 10 MG/ML,Drug,mimiciv_drug_ndc,Prescription Drug,,"Prednisolone Acetate 1 % Eye Drops, Susp",1970-01-01,2099-12-31,
2000010017,24 HR desvenlafaxine succinate 50 MG Extended Release Oral Tablet [Pristiq],Drug,mimiciv_drug_ndc,Prescription Drug,,Pristiq 50 mg 24 hr Tab,1970-01-01,2099-12-31,
2000010018,bosentan 125 MG Oral Tablet [Tracleer],Drug,mimiciv_drug_ndc,Prescription Drug,,Tracleer 125,1970-01-01,2099-12-31,
