concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000010001,19120831,Maps to,1970-01-01,2099-12-31,
2000010002,40165411,Maps to,1970-01-01,2099-12-31,
2000010003,40164140,Maps to,1970-01-01,2099-12-31,
2000010004,35603976,Maps to,1970-01-01,2099-12-31,
2000010005,939422,Maps to,1970-01-01,2099-12-31,
2000010006,40021550,Maps to,1970-01-01,2099-12-31,
2000010007,19095712,Maps to,1970-01-01,2099-12-31,
2000010008,939398,Maps to,1970-01-01,2099-12-31,
2000010009,794147,Maps to,1970-01-01,2099-12-31,
2000010010,939259,Maps to,1970-01-01,2099-12-31,
2000010011,42706204,Maps to,1970-01-01,2099-12-31,
2000010012,40099654,Maps to,1970-01-01,2099-12-31,
2000010013,1300673,Maps to,1970-01-01,2099-12-31,
2000010014,19033500,Maps to,1970-01-01,2099-12-31,
2000010015,19093622,Maps to,1970-01-01,2099-12-31,
2000010016,43526394,Maps to,1970-01-01,2099-12-31,
2000010017,19129683,Maps to,1970-01-01,2099-12-31,
2000010018,19124851,Maps to,1970-01-01,2099-12-31,
2000010019,40163210,Maps to,1970-01-01,2099-12-31,
2000010020,1707687,Maps to,1970-01-01,2099-12-31,
2000010021,1237217,Maps to,1970-01-01,2099-12-31,
2000010022,791967,Maps to,1970-01-01,2099-12-31,
2000010023,1344992,Maps to,1970-01-01,2099-12-31,
2000010024,920869,Maps to,1970-01-01,2099-12-31,
2000010025,40236493,Maps to,1970-01-01,2099-12-31,
2000010026,1139058,Maps to,1970-01-01,2099-12-31,
2000010027,1139058,Maps to,1970-01-01,2099-12-31,
2000010028,35604680,Maps to,1970-01-01,2099-12-31,
2000010029,1129625,Maps to,1970-01-01,2099-12-31,
2000010030,42708921,Maps to,1970-01-01,2099-12-31,
2000010031,19117574,Maps to,1970-01-01,2099-12-31,
2000010032,1717327,Maps to,1970-01-01,2099-12-31,
2000010033,40164856,Maps to,1970-01-01,2099-12-31,
2000010034,42899398,Maps to,1970-01-01,2099-12-31,
2000010035,1126658,Maps to,1970-01-01,2099-12-31,
2000010036,40226431,Maps to,1970-01-01,2099-12-31,
2000010037,1507835,Maps to,1970-01-01,2099-12-31,
2000010038,40175059,Maps to,1970-01-01,2099-12-31,
2000010039,976606,Maps to,1970-01-01,2099-12-31,
2000010040,19109384,Maps to,1970-01-01,2099-12-31,
2000010041,1307046,Maps to,1970-01-01,2099-12-31,
2000010042,40164864,Maps to,1970-01-01,2099-12-31,
2000010043,42800983,Maps to,1970-01-01,2099-12-31,
2000010044,19135232,Maps to,1970-01-01,2099-12-31,
2000010045,40224823,Maps to,1970-01-01,2099-12-31,
2000010046,1328165,Maps to,1970-01-01,2099-12-31,
2000010047,1151789,Maps to,1970-01-01,2099-12-31,
2000010048,1351115,Maps to,1970-01-01,2099-12-31,
2000010049,1337860,Maps to,1970-01-01,2099-12-31,
2000010050,19131890,Maps to,1970-01-01,2099-12-31,
2000010051,19117668,Maps to,1970-01-01,2099-12-31,
2000010052,19062923,Maps to,1970-01-01,2099-12-31,
2000010053,42902603,Maps to,1970-01-01,2099-12-31,
2000010054,19124373,Maps to,1970-01-01,2099-12-31,
2000010055,19124373,Maps to,1970-01-01,2099-12-31,
2000010056,19089084,Maps to,1970-01-01,2099-12-31,
2000010057,19042362,Maps to,1970-01-01,2099-12-31,
2000010058,740910,Maps to,1970-01-01,2099-12-31,
2000010059,990243,Maps to,1970-01-01,2099-12-31,
2000010060,19083332,Maps to,1970-01-01,2099-12-31,
2000010061,19025426,Maps to,1970-01-01,2099-12-31,
2000010062,40164129,Maps to,1970-01-01,2099-12-31,
2000010063,19021528,Maps to,1970-01-01,2099-12-31,
2000010064,968426,Maps to,1970-01-01,2099-12-31,
2000010065,1549218,Maps to,1970-01-01,2099-12-31,
2000010066,1112921,Maps to,1970-01-01,2099-12-31,
2000010067,1126658,Maps to,1970-01-01,2099-12-31,
2000010068,19080281,Maps to,1970-01-01,2099-12-31,
2000010069,19100309,Maps to,1970-01-01,2099-12-31,
2000010070,35603976,Maps to,1970-01-01,2099-12-31,
2000010071,40239062,Maps to,1970-01-01,2099-12-31,
2000010072,19118045,Maps to,1970-01-01,2099-12-31,
2000010073,40130712,Maps to,1970-01-01,2099-12-31,
2000010074,956874,Maps to,1970-01-01,2099-12-31,
2000010075,19053149,Maps to,1970-01-01,2099-12-31,
2000010076,1192244,Maps to,1970-01-01,2099-12-31,
2000010077,1101925,Maps to,1970-01-01,2099-12-31,
2000010078,40174500,Maps to,1970-01-01,2099-12-31,
2000010079,40161286,Maps to,1970-01-01,2099-12-31,
2000010080,1139215,Maps to,1970-01-01,2099-12-31,
2000010081,1511686,Maps to,1970-01-01,2099-12-31,
2000010082,19124373,Maps to,1970-01-01,2099-12-31,
2000010083,19062923,Maps to,1970-01-01,2099-12-31,
2000010084,1718073,Maps to,1970-01-01,2099-12-31,
2000010085,1343916,Maps to,1970-01-01,2099-12-31,
2000010086,19097771,Maps to,1970-01-01,2099-12-31,
2000010087,1135766,Maps to,1970-01-01,2099-12-31,
2000010088,40236072,Maps to,1970-01-01,2099-12-31,
2000010089,780445,Maps to,1970-01-01,2099-12-31,
2000010090,19134734,Maps to,1970-01-01,2099-12-31,
2000010091,40161286,Maps to,1970-01-01,2099-12-31,
2000010092,40168548,Maps to,1970-01-01,2099-12-31,
2000010093,19123444,Maps to,1970-01-01,2099-12-31,
2000010094,19110661,Maps to,1970-01-01,2099-12-31,
2000010095,1351153,Maps to,1970-01-01,2099-12-31,
2000010096,989486,Maps to,1970-01-01,2099-12-31,
2000010097,40163287,Maps to,1970-01-01,2099-12-31,
2000010098,953120,Maps to,1970-01-01,2099-12-31,
2000010099,19023243,Maps to,1970-01-01,2099-12-31,
2000010100,40141424,Maps to,1970-01-01,2099-12-31,
2000010101,1101926,Maps to,1970-01-01,2099-12-31,
2000010102,40007739,Maps to,1970-01-01,2099-12-31,
2000010103,19120970,Maps to,1970-01-01,2099-12-31,
2000010104,40230159,Maps to,1970-01-01,2099-12-31,
2000010105,19127050,Maps to,1970-01-01,2099-12-31,
2000010106,1321364,Maps to,1970-01-01,2099-12-31,
2000010107,40134708,Maps to,1970-01-01,2099-12-31,
2000010108,40236071,Maps to,1970-01-01,2099-12-31,
2000010109,939506,Maps to,1970-01-01,2099-12-31,
2000010110,1000560,Maps to,1970-01-01,2099-12-31,
2000010111,40163212,Maps to,1970-01-01,2099-12-31,
2000010112,19071967,Maps to,1970-01-01,2099-12-31,
