concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000002001,IV,Route,mimiciv_drug_route,Qualifier Value,,IV,1970-01-01,2099-12-31,
2000002002,PO/NG,Route,mimiciv_drug_route,Qualifier Value,,PO/NG,1970-01-01,2099-12-31,
2000002003,PO,Route,mimiciv_drug_route,Qualifier Value,,PO,1970-01-01,2099-12-31,
2000002004,SC,Route,mimiciv_drug_route,Qualifier Value,,SC,1970-01-01,2099-12-31,
2000002005,IV DRIP,Route,mimiciv_drug_route,Qualifier Value,,IV DRIP,1970-01-01,2099-12-31,
2000002006,IM,Route,mimiciv_drug_route,Qualifier Value,,IM,1970-01-01,2099-12-31,
2000002007,IH,Route,mimiciv_drug_route,Qualifier Value,,IH,1970-01-01,2099-12-31,
2000002008,TP,Route,mimiciv_drug_route,Qualifier Value,,TP,1970-01-01,2099-12-31,
2000002009,PR,Route,mimiciv_drug_route,Qualifier Value,,PR,1970-01-01,2099-12-31,
2000002010,BOTH EYES,Route,mimiciv_drug_route,Qualifier Value,,BOTH EYES,1970-01-01,2099-12-31,
2000002011,ORAL,Route,mimiciv_drug_route,Qualifier Value,,ORAL,1970-01-01,2099-12-31,
2000002012,IVPCA,Route,mimiciv_drug_route,Qualifier Value,,IVPCA,1970-01-01,2099-12-31,
2000002013,TD,Route,mimiciv_drug_route,Qualifier Value,,TD,1970-01-01,2099-12-31,
2000002014,NG,Route,mimiciv_drug_route,Qualifier Value,,NG,1970-01-01,2099-12-31,
2000002015,ED,Route,mimiciv_drug_route,Qualifier Value,,ED,1970-01-01,2099-12-31,
2000002016,NEB,Route,mimiciv_drug_route,Qualifier Value,,NEB,1970-01-01,2099-12-31,
2000002017,IV BOLUS,Route,mimiciv_drug_route,Qualifier Value,,IV BOLUS,1970-01-01,2099-12-31,
2000002018,SL,Route,mimiciv_drug_route,Qualifier Value,,SL,1970-01-01,2099-12-31,
2000002019,SUBCUT,Route,mimiciv_drug_route,Qualifier Value,,SUBCUT,1970-01-01,2099-12-31,
2000002020,ID,Route,mimiciv_drug_route,Qualifier Value,,ID,1970-01-01,2099-12-31,
2000002021,DIALYS,Route,mimiciv_drug_route,Qualifier Value,,DIALYS,1970-01-01,2099-12-31,
2000002022,PIV,Route,mimiciv_drug_route,Qualifier Value,,PIV,1970-01-01,2099-12-31,
2000002023,RIGHT EYE,Route,mimiciv_drug_route,Qualifier Value,,RIGHT EYE,1970-01-01,2099-12-31,
2000002024,LEFT EYE,Route,mimiciv_drug_route,Qualifier Value,,LEFT EYE,1970-01-01,2099-12-31,
2000002025,OU,Route,mimiciv_drug_route,Qualifier Value,,OU,1970-01-01,2099-12-31,
2000002026,LOCK,Route,mimiciv_drug_route,Qualifier Value,,LOCK,1970-01-01,2099-12-31,
2000002027,IT,Route,mimiciv_drug_route,Qualifier Value,,IT,1970-01-01,2099-12-31,
2000002028,PL,Route,mimiciv_drug_route,Qualifier Value,,PL,1970-01-01,2099-12-31,
2000002029,PERIPHNERVE,Route,mimiciv_drug_route,Qualifier Value,,PERIPHNERVE,1970-01-01,2099-12-31,
2000002030,INHALATION,Route,mimiciv_drug_route,Qualifier Value,,INHALATION,1970-01-01,2099-12-31,
2000002031,ET,Route,mimiciv_drug_route,Qualifier Value,,ET,1970-01-01,2099-12-31,
2000002032,IP,Route,mimiciv_drug_route,Qualifier Value,,IP,1970-01-01,2099-12-31,
2000002033,VG,Route,mimiciv_drug_route,Qualifier Value,,VG,1970-01-01,2099-12-31,
2000002034,NAS,Route,mimiciv_drug_route,Qualifier Value,,NAS,1970-01-01,2099-12-31,
2000002035,BUCCAL,Route,mimiciv_drug_route,Qualifier Value,,BUCCAL,1970-01-01,2099-12-31,
2000002036,INTRAPLEURAL,Route,mimiciv_drug_route,Qualifier Value,,INTRAPLEURAL,1970-01-01,2099-12-31,
2000002037,PICC,Route,mimiciv_drug_route,Qualifier Value,,PICC,1970-01-01,2099-12-31,
2000002038,DLUVC,Route,mimiciv_drug_route,Qualifier Value,,DLUVC,1970-01-01,2099-12-31,
2000002039,IN,Route,mimiciv_drug_route,Qualifier Value,,IN,1970-01-01,2099-12-31,
2000002040,OD,Route,mimiciv_drug_route,Qualifier Value,,OD,1970-01-01,2099-12-31,
2000002041,UVC,Route,mimiciv_drug_route,Qualifier Value,,UVC,1970-01-01,2099-12-31,
2000002042,OS,Route,mimiciv_drug_route,Qualifier Value,,OS,1970-01-01,2099-12-31,
2000002043,BOTH EARS,Route,mimiciv_drug_route,Qualifier Value,,BOTH EARS,1970-01-01,2099-12-31,
2000002044,G TUBE,Route,mimiciv_drug_route,Qualifier Value,,G TUBE,1970-01-01,2099-12-31,
2000002045,J TUBE,Route,mimiciv_drug_route,Qualifier Value,,J TUBE,1970-01-01,2099-12-31,
2000002046,AD,Route,mimiciv_drug_route,Qualifier Value,,AD,1970-01-01,2099-12-31,
2000002047,RIGHT EAR,Route,mimiciv_drug_route,Qualifier Value,,RIGHT EAR,1970-01-01,2099-12-31,
2000002048,LEFT EAR,Route,mimiciv_drug_route,Qualifier Value,,LEFT EAR,1970-01-01,2099-12-31,
2000002049,IVCI,Route,mimiciv_drug_route,Qualifier Value,,IVCI,1970-01-01,2099-12-31,
2000002050,IR,Route,mimiciv_drug_route,Qualifier Value,,IR,1970-01-01,2099-12-31,
2000002051,IRR,Route,mimiciv_drug_route,Qualifier Value,,IRR,1970-01-01,2099-12-31,
2000002052,IVT,Route,mimiciv_drug_route,Qualifier Value,,IVT,1970-01-01,2099-12-31,
2000002053,TRANSDERMAL,Route,mimiciv_drug_route,Qualifier Value,,TRANSDERMAL,1970-01-01,2099-12-31,
2000002054,NS,Route,mimiciv_drug_route,Qualifier Value,,NS,1970-01-01,2099-12-31,
2000002055,UAC,Route,mimiciv_drug_route,Qualifier Value,,UAC,1970-01-01,2099-12-31,
2000002056,LUMBAR PLEXUS,Route,mimiciv_drug_route,Qualifier Value,,LUMBAR PLEXUS,1970-01-01,2099-12-31,
2000002057,INTRAVITREAL,Route,mimiciv_drug_route,Qualifier Value,,INTRAVITREAL,1970-01-01,2099-12-31,
2000002058,BU,Route,mimiciv_drug_route,Qualifier Value,,BU,1970-01-01,2099-12-31,
2000002059,AU,Route,mimiciv_drug_route,Qualifier Value,,AU,1970-01-01,2099-12-31,
2000002060,NG/OG,Route,mimiciv_drug_route,Qualifier Value,,NG/OG,1970-01-01,2099-12-31,
2000002061,IO,Route,mimiciv_drug_route,Qualifier Value,,IO,1970-01-01,2099-12-31,
2000002062,OG,Route,mimiciv_drug_route,Qualifier Value,,OG,1970-01-01,2099-12-31,
2000002063,IV INFUSION,Route,mimiciv_drug_route,Qualifier Value,,IV INFUSION,1970-01-01,2099-12-31,
2000002064,TT,Route,mimiciv_drug_route,Qualifier Value,,TT,1970-01-01,2099-12-31,
