concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000002001,4171047,Maps to,1970-01-01,2099-12-31,
2000002002,4167540,Maps to,1970-01-01,2099-12-31,
2000002003,4132161,Maps to,1970-01-01,2099-12-31,
2000002004,4142048,Maps to,1970-01-01,2099-12-31,
2000002005,4171047,Maps to,1970-01-01,2099-12-31,
2000002006,4302612,Maps to,1970-01-01,2099-12-31,
2000002007,45956874,Maps to,1970-01-01,2099-12-31,
2000002008,4263689,Maps to,1970-01-01,2099-12-31,
2000002009,4290759,Maps to,1970-01-01,2099-12-31,
2000002010,4184451,Maps to,1970-01-01,2099-12-31,
2000002011,4132161,Maps to,1970-01-01,2099-12-31,
2000002012,4171047,Maps to,1970-01-01,2099-12-31,
2000002013,4262099,Maps to,1970-01-01,2099-12-31,
2000002014,4132711,Maps to,1970-01-01,2099-12-31,
2000002015,4225555,Maps to,1970-01-01,2099-12-31,
2000002016,45956874,Maps to,1970-01-01,2099-12-31,
2000002017,4171047,Maps to,1970-01-01,2099-12-31,
2000002018,4292110,Maps to,1970-01-01,2099-12-31,
2000002019,4142048,Maps to,1970-01-01,2099-12-31,
2000002020,4156706,Maps to,1970-01-01,2099-12-31,
2000002021,45956871,Maps to,1970-01-01,2099-12-31,
2000002022,4171884,Maps to,1970-01-01,2099-12-31,
2000002023,4184451,Maps to,1970-01-01,2099-12-31,
2000002024,4184451,Maps to,1970-01-01,2099-12-31,
2000002025,4184451,Maps to,1970-01-01,2099-12-31,
2000002026,35631981,Maps to,1970-01-01,2099-12-31,
2000002027,4217202,Maps to,1970-01-01,2099-12-31,
2000002028,4156707,Maps to,1970-01-01,2099-12-31,
2000002029,4157761,Maps to,1970-01-01,2099-12-31,
2000002030,45956874,Maps to,1970-01-01,2099-12-31,
2000002031,4186832,Maps to,1970-01-01,2099-12-31,
2000002032,4243022,Maps to,1970-01-01,2099-12-31,
2000002033,4057765,Maps to,1970-01-01,2099-12-31,
2000002034,4262914,Maps to,1970-01-01,2099-12-31,
2000002035,4181897,Maps to,1970-01-01,2099-12-31,
2000002036,4156707,Maps to,1970-01-01,2099-12-31,
2000002037,4170113,Maps to,1970-01-01,2099-12-31,
2000002038,4171047,Maps to,1970-01-01,2099-12-31,
2000002039,45956874,Maps to,1970-01-01,2099-12-31,
2000002040,4184451,Maps to,1970-01-01,2099-12-31,
2000002041,4171047,Maps to,1970-01-01,2099-12-31,
2000002042,4184451,Maps to,1970-01-01,2099-12-31,
2000002043,4023156,Maps to,1970-01-01,2099-12-31,
2000002044,4132254,Maps to,1970-01-01,2099-12-31,
2000002045,4133177,Maps to,1970-01-01,2099-12-31,
2000002046,4023156,Maps to,1970-01-01,2099-12-31,
2000002047,4023156,Maps to,1970-01-01,2099-12-31,
2000002048,4023156,Maps to,1970-01-01,2099-12-31,
2000002049,4171047,Maps to,1970-01-01,2099-12-31,
2000002050,4263689,Maps to,1970-01-01,2099-12-31,
2000002051,4263689,Maps to,1970-01-01,2099-12-31,
2000002052,4224886,Maps to,1970-01-01,2099-12-31,
2000002053,4262099,Maps to,1970-01-01,2099-12-31,
2000002054,4262914,Maps to,1970-01-01,2099-12-31,
