concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000030001,Heart Rate,Measurement,mimiciv_meas_chart,Clinical Observation,,220045,1970-01-01,2099-12-31,
2000030002,Respiratory Rate,Measurement,mimiciv_meas_chart,Clinical Observation,,220210,1970-01-01,2099-12-31,
2000030003,O2 saturation pulseoxymetry,Measurement,mimiciv_meas_chart,Clinical Observation,,220277,1970-01-01,2099-12-31,
2000030004,Heart Rhythm,Measurement,mimiciv_meas_chart,Clinical Observation,,220048,1970-01-01,2099-12-31,
2000030005,Non Invasive Blood Pressure systolic,Measurement,mimiciv_meas_chart,Clinical Observation,,220179,1970-01-01,2099-12-31,
2000030006,Non Invasive Blood Pressure diastolic,Measurement,mimiciv_meas_chart,Clinical Observation,,220180,1970-01-01,2099-12-31,
2000030007,Non Invasive Blood Pressure mean,Measurement,mimiciv_meas_chart,Clinical Observation,,220181,1970-01-01,2099-12-31,
2000030008,Arterial Blood Pressure mean,Measurement,mimiciv_meas_chart,Clinical Observation,,220052,1970-01-01,2099-12-31,
2000030009,Arterial Blood Pressure systolic,Measurement,mimiciv_meas_chart,Clinical Observation,,220050,1970-01-01,2099-12-31,
2000030010,Arterial Blood Pressure diastolic,Measurement,mimiciv_meas_chart,Clinical Observation,,220051,1970-01-01,2099-12-31,
2000030011,Pain Management,Observation,mimiciv_meas_chart,Clinical Observation,,223792,1970-01-01,2099-12-31,
2000030012,Temperature Site,Observation,mimiciv_meas_chart,Clinical Observation,,224642,1970-01-01,2099-12-31,
2000030013,GCS - Eye Opening,Measurement,mimiciv_meas_chart,Clinical Observation,,220739,1970-01-01,2099-12-31,
2000030014,GCS - Verbal Response,Measurement,mimiciv_meas_chart,Clinical Observation,,223900,1970-01-01,2099-12-31,
2000030015,GCS - Motor Response,Measurement,mimiciv_meas_chart,Clinical Observation,,223901,1970-01-01,2099-12-31,
2000030016,Pain Present,Observation,mimiciv_meas_chart,Clinical Observation,,223781,1970-01-01,2099-12-31,
2000030017,O2 Delivery Device(s),Observation,mimiciv_meas_chart,Clinical Observation,,226732,1970-01-01,2099-12-31,
2000030018,Temperature Fahrenheit,Measurement,mimiciv_meas_chart,Clinical Observation,,223761,1970-01-01,2099-12-31,
2000030019,Pain Assessment Method,Procedure,mimiciv_meas_chart,Clinical Observation,,223795,1970-01-01,2099-12-31,
2000030020,Abdominal Assessment,Measurement,mimiciv_meas_chart,Clinical Observation,,224003,1970-01-01,2099-12-31,
2000030021,Therapeutic Bed,Device,mimiciv_meas_chart,Clinical Observation,,224087,1970-01-01,2099-12-31,
2000030022,Pupil Size Right,Measurement,mimiciv_meas_chart,Clinical Observation,,223907,1970-01-01,2099-12-31,
2000030023,Pupil Size Left,Measurement,mimiciv_meas_chart,Clinical Observation,,224733,1970-01-01,2099-12-31,
2000030024,Pupil Response Right,Measurement,mimiciv_meas_chart,Clinical Observation,,227121,1970-01-01,2099-12-31,
2000030025,Pupil Response Left,Measurement,mimiciv_meas_chart,Clinical Observation,,227288,1970-01-01,2099-12-31,
2000030026,Richmond-RAS Scale,Measurement,mimiciv_meas_chart,Clinical Observation,,228096,1970-01-01,2099-12-31,
2000030027,Bowel Sounds,Observation,mimiciv_meas_chart,Clinical Observation,,224004,1970-01-01,2099-12-31,
2000030028,Edema Location,Measurement,mimiciv_meas_chart,Clinical Observation,,224031,1970-01-01,2099-12-31,
2000030029,Oral Care,Measurement,mimiciv_meas_chart,Clinical Observation,,226168,1970-01-01,2099-12-31,
2000030030,Pain Level Acceptable,Observation,mimiciv_meas_chart,Clinical Observation,,223794,1970-01-01,2099-12-31,
2000030031,Skin Integrity,Measurement,mimiciv_meas_chart,Clinical Observation,,224026,1970-01-01,2099-12-31,
2000030032,Urine Color,Measurement,mimiciv_meas_chart,Clinical Observation,,224016,1970-01-01,2099-12-31,
2000030033,Skin Temperature,Measurement,mimiciv_meas_chart,Clinical Observation,,224027,1970-01-01,2099-12-31,
2000030034,Pain Level,Observation,mimiciv_meas_chart,Clinical Observation,,223791,1970-01-01,2099-12-31,
2000030035,Skin Color,Measurement,mimiciv_meas_chart,Clinical Observation,,224028,1970-01-01,2099-12-31,
2000030036,Urine Appearance,Measurement,mimiciv_meas_chart,Clinical Observation,,224876,1970-01-01,2099-12-31,
2000030037,Inspired O2 Fraction,Measurement,mimiciv_meas_chart,Clinical Observation,,223835,1970-01-01,2099-12-31,
2000030038,Braden Sensory Perception,Measurement,mimiciv_meas_chart,Clinical Observation,,224054,1970-01-01,2099-12-31,
2000030039,Braden Moisture,Measurement,mimiciv_meas_chart,Clinical Observation,,224055,1970-01-01,2099-12-31,
2000030040,Braden Activity,Measurement,mimiciv_meas_chart,Clinical Observation,,224056,1970-01-01,2099-12-31,
2000030041,Braden Mobility,Measurement,mimiciv_meas_chart,Clinical Observation,,224057,1970-01-01,2099-12-31,
2000030042,Braden Nutrition,Measurement,mimiciv_meas_chart,Clinical Observation,,224058,1970-01-01,2099-12-31,
2000030043,Braden Friction/Shear,Measurement,mimiciv_meas_chart,Clinical Observation,,224059,1970-01-01,2099-12-31,
2000030044,Central Venous Pressure,Measurement,mimiciv_meas_chart,Clinical Observation,,220074,1970-01-01,2099-12-31,
2000030045,Respiratory Pattern,Measurement,mimiciv_meas_chart,Clinical Observation,,223985,1970-01-01,2099-12-31,
2000030046,Respiratory Effort,Measurement,mimiciv_meas_chart,Clinical Observation,,223990,1970-01-01,2099-12-31,
2000030047,PEEP set,Measurement,mimiciv_meas_chart,Clinical Observation,,220339,1970-01-01,2099-12-31,
2000030048,Tidal Volume (observed),Measurement,mimiciv_meas_chart,Clinical Observation,,224685,1970-01-01,2099-12-31,
2000030049,Minute Volume,Measurement,mimiciv_meas_chart,Clinical Observation,,224687,1970-01-01,2099-12-31,
2000030050,Mean Airway Pressure,Measurement,mimiciv_meas_chart,Clinical Observation,,224697,1970-01-01,2099-12-31,
2000030051,Respiratory Rate (spontaneous),Measurement,mimiciv_meas_chart,Clinical Observation,,224689,1970-01-01,2099-12-31,
