concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000030001,3027018,Maps to,1970-01-01,2099-12-31,
2000030002,3024171,Maps to,1970-01-01,2099-12-31,
2000030003,40762499,Maps to,1970-01-01,2099-12-31,
2000030004,3022318,Maps to,1970-01-01,2099-12-31,
2000030005,21492239,Maps to,1970-01-01,2099-12-31,
2000030006,21492240,Maps to,1970-01-01,2099-12-31,
2000030007,21492241,Maps to,1970-01-01,2099-12-31,
2000030008,3027598,Maps to,1970-01-01,2099-12-31,
2000030009,3004249,Maps to,1970-01-01,2099-12-31,
2000030010,3012888,Maps to,1970-01-01,2099-12-31,
2000030011,4192791,Maps to,1970-01-01,2099-12-31,
2000030012,3024265,Maps to,1970-01-01,2099-12-31,
2000030013,3016335,Maps to,1970-01-01,2099-12-31,
2000030014,3009094,Maps to,1970-01-01,2099-12-31,
2000030015,3008223,Maps to,1970-01-01,2099-12-31,
2000030016,40757693,Maps to,1970-01-01,2099-12-31,
2000030017,4036936,Maps to,1970-01-01,2099-12-31,
2000030018,3020891,Maps to,1970-01-01,2099-12-31,
2000030019,4021323,Maps to,1970-01-01,2099-12-31,
2000030020,21494966,Maps to,1970-01-01,2099-12-31,
2000030021,45768171,Maps to,1970-01-01,2099-12-31,
2000030022,3010321,Maps to,1970-01-01,2099-12-31,
2000030023,3026611,Maps to,1970-01-01,2099-12-31,
2000030024,21490963,Maps to,1970-01-01,2099-12-31,
2000030025,21491763,Maps to,1970-01-01,2099-12-31,
2000030026,36684829,Maps to,1970-01-01,2099-12-31,
2000030027,4337265,Maps to,1970-01-01,2099-12-31,
2000030028,3046838,Maps to,1970-01-01,2099-12-31,
2000030029,3039006,Maps to,1970-01-01,2099-12-31,
2000030030,4138763,Maps to,1970-01-01,2099-12-31,
2000030031,21492838,Maps to,1970-01-01,2099-12-31,
2000030032,3027162,Maps to,1970-01-01,2099-12-31,
2000030033,3039856,Maps to,1970-01-01,2099-12-31,
2000030034,3034263,Maps to,1970-01-01,2099-12-31,
2000030035,3043970,Maps to,1970-01-01,2099-12-31,
2000030036,3007876,Maps to,1970-01-01,2099-12-31,
2000030037,3020716,Maps to,1970-01-01,2099-12-31,
2000030038,3036098,Maps to,1970-01-01,2099-12-31,
2000030039,3037022,Maps to,1970-01-01,2099-12-31,
2000030040,3037318,Maps to,1970-01-01,2099-12-31,
2000030041,3035206,Maps to,1970-01-01,2099-12-31,
2000030042,3035816,Maps to,1970-01-01,2099-12-31,
2000030043,3037347,Maps to,1970-01-01,2099-12-31,
2000030044,21490675,Maps to,1970-01-01,2099-12-31,
2000030045,3020481,Maps to,1970-01-01,2099-12-31,
2000030046,21492835,Maps to,1970-01-01,2099-12-31,
2000030047,3022875,Maps to,1970-01-01,2099-12-31,
2000030048,21490854,Maps to,1970-01-01,2099-12-31,
2000030049,21490753,Maps to,1970-01-01,2099-12-31,
2000030050,42527086,Maps to,1970-01-01,2099-12-31,
2000030051,1175625,Maps to,1970-01-01,2099-12-31,
2000030052,21490650,Maps to,1970-01-01,2099-12-31,
2000030053,3014080,Maps to,1970-01-01,2099-12-31,
2000030054,40762903,Maps to,1970-01-01,2099-12-31,
2000030055,3025439,Maps to,1970-01-01,2099-12-31,
2000030056,3007397,Maps to,1970-01-01,2099-12-31,
2000030057,40760766,Maps to,1970-01-01,2099-12-31,
2000030058,3034263,Maps to,1970-01-01,2099-12-31,
2000030059,3024171,Maps to,1970-01-01,2099-12-31,
2000030060,3009497,Maps to,1970-01-01,2099-12-31,
2000030061,21491186,Maps to,1970-01-01,2099-12-31,
2000030062,3023103,Maps to,1970-01-01,2099-12-31,
2000030063,3019550,Maps to,1970-01-01,2099-12-31,
2000030064,3014576,Maps to,1970-01-01,2099-12-31,
2000030065,3004921,Maps to,1970-01-01,2099-12-31,
2000030066,3009542,Maps to,1970-01-01,2099-12-31,
2000030067,3000963,Maps to,1970-01-01,2099-12-31,
2000030068,3016723,Maps to,1970-01-01,2099-12-31,
2000030069,3016293,Maps to,1970-01-01,2099-12-31,
2000030070,3004295,Maps to,1970-01-01,2099-12-31,
2000030071,3039000,Maps to,1970-01-01,2099-12-31,
2000030072,3004501,Maps to,1970-01-01,2099-12-31,
2000030073,43055270,Maps to,1970-01-01,2099-12-31,
2000030074,36203862,Maps to,1970-01-01,2099-12-31,
2000030075,3004297,Maps to,1970-01-01,2099-12-31,
2000030076,21494965,Maps to,1970-01-01,2099-12-31,
2000030077,45768171,Maps to,1970-01-01,2099-12-31,
2000030078,3007469,Maps to,1970-01-01,2099-12-31,
2000030079,21490854,Maps to,1970-01-01,2099-12-31,
2000030080,3017594,Maps to,1970-01-01,2099-12-31,
2000030081,21490516,Maps to,1970-01-01,2099-12-31,
2000030082,3000461,Maps to,1970-01-01,2099-12-31,
2000030083,3019977,Maps to,1970-01-01,2099-12-31,
2000030084,3017188,Maps to,1970-01-01,2099-12-31,
2000030085,3005606,Maps to,1970-01-01,2099-12-31,
2000030086,3027801,Maps to,1970-01-01,2099-12-31,
2000030087,3027946,Maps to,1970-01-01,2099-12-31,
2000030088,3003396,Maps to,1970-01-01,2099-12-31,
2000030089,3037663,Maps to,1970-01-01,2099-12-31,
2000030090,3028074,Maps to,1970-01-01,2099-12-31,
2000030091,21494989,Maps to,1970-01-01,2099-12-31,
2000030092,3020891,Maps to,1970-01-01,2099-12-31,
2000030093,3037490,Maps to,1970-01-01,2099-12-31,
2000030094,3015273,Maps to,1970-01-01,2099-12-31,
2000030095,3018405,Maps to,1970-01-01,2099-12-31,
2000030096,3027598,Maps to,1970-01-01,2099-12-31,
2000030097,3004249,Maps to,1970-01-01,2099-12-31,
2000030098,3012888,Maps to,1970-01-01,2099-12-31,
2000030099,36303946,Maps to,1970-01-01,2099-12-31,
2000030100,3021119,Maps to,1970-01-01,2099-12-31,
2000030101,3025019,Maps to,1970-01-01,2099-12-31,
2000030102,42527140,Maps to,1970-01-01,2099-12-31,
2000030103,4021323,Maps to,1970-01-01,2099-12-31,
2000030104,21490653,Maps to,1970-01-01,2099-12-31,
2000030105,3018465,Maps to,1970-01-01,2099-12-31,
2000030106,3020891,Maps to,1970-01-01,2099-12-31,
2000030107,3005555,Maps to,1970-01-01,2099-12-31,
2000030108,3001062,Maps to,1970-01-01,2099-12-31,
2000030109,3042347,Maps to,1970-01-01,2099-12-31,
2000030110,4321388,Maps to,1970-01-01,2099-12-31,
2000030111,21490695,Maps to,1970-01-01,2099-12-31,
2000030112,3025315,Maps to,1970-01-01,2099-12-31,
2000030113,433753,Maps to,1970-01-01,2099-12-31,
2000030114,3016502,Maps to,1970-01-01,2099-12-31,
2000030115,3012697,Maps to,1970-01-01,2099-12-31,
2000030116,40757693,Maps to,1970-01-01,2099-12-31,
2000030117,4127294,Maps to,1970-01-01,2099-12-31,
2000030118,3025315,Maps to,1970-01-01,2099-12-31,
2000030119,21490580,Maps to,1970-01-01,2099-12-31,
2000030120,21490888,Maps to,1970-01-01,2099-12-31,
2000030121,3014080,Maps to,1970-01-01,2099-12-31,
2000030122,1175625,Maps to,1970-01-01,2099-12-31,
2000030123,3017594,Maps to,1970-01-01,2099-12-31,
2000030124,3018465,Maps to,1970-01-01,2099-12-31,
