concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000031001,SR (Sinus Rhythm),Meas Value,mimiciv_meas_chartevents_value,Answer,,SR (Sinus Rhythm),1970-01-01,2099-12-31,
2000031002,ST (Sinus Tachycardia),Meas Value,mimiciv_meas_chartevents_value,Answer,,ST (Sinus Tachycardia),1970-01-01,2099-12-31,
2000031003,AF (Atrial Fibrillation),Meas Value,mimiciv_meas_chartevents_value,Answer,,AF (Atrial Fibrillation),1970-01-01,2099-12-31,
2000031004,SB (Sinus Bradycardia),Meas Value,mimiciv_meas_chartevents_value,Answer,,SB (Sinus Bradycardia),1970-01-01,2099-12-31,
2000031005,1st AV (First degree AV Block),Meas Value,mimiciv_meas_chartevents_value,Answer,,1st AV (First degree AV Block),1970-01-01,2099-12-31,
2000031006,A Flut (Atrial Flutter),Meas Value,mimiciv_meas_chartevents_value,Answer,,A Flut (Atrial Flutter),1970-01-01,2099-12-31,
2000031007,RBBB (Right Bundle Branch Block),Meas Value,mimiciv_meas_chartevents_value,Answer,,RBBB (Right Bundle Branch Block),1970-01-01,2099-12-31,
2000031008,LBBB (Left Bundle Branch Block),Meas Value,mimiciv_meas_chartevents_value,Answer,,LBBB (Left Bundle Branch Block),1970-01-01,2099-12-31,
2000031009,SA (Sinus Arrhythmia),Meas Value,mimiciv_meas_chartevents_value,Answer,,SA (Sinus Arrhythmia),1970-01-01,2099-12-31,
2000031010,JR (Junctional Rhythm),Meas Value,mimiciv_meas_chartevents_value,Answer,,JR (Junctional Rhythm),1970-01-01,2099-12-31,
2000031011,3rd AV (Complete Heart Block),Meas Value,mimiciv_meas_chartevents_value,Answer,,3rd AV (Complete Heart Block),1970-01-01,2099-12-31,
2000031012,SVT (Supra Ventricular Tachycardia),Meas Value,mimiciv_meas_chartevents_value,Answer,,SVT (Supra Ventricular Tachycardia),1970-01-01,2099-12-31,
2000031013,2nd AV W-M1 (Second degree AV Block Wenckebach - Mobitz1),Meas Value,mimiciv_meas_chartevents_value,Answer,,2nd AV W-M1 (Second degree AV Block Wenckebach - Mobitz1),1970-01-01,2099-12-31,
2000031014,1st AV (First degree AV Block),Condition,mimiciv_meas_chartevents_value,Clinical Finding,,1st AV (First degree AV Block),1970-01-01,2099-12-31,
2000031015,2nd AV W-M1 (Second degree AV Block Wenckebach - Mobitz1),Condition,mimiciv_meas_chartevents_value,Clinical Finding,,2nd AV W-M1 (Second degree AV Block Wenckebach - Mobitz1),1970-01-01,2099-12-31,
2000031016,3rd AV (Complete Heart Block),Condition,mimiciv_meas_chartevents_value,Clinical Finding,,3rd AV (Complete Heart Block),1970-01-01,2099-12-31,
2000031017,A Flut (Atrial Flutter),Condition,mimiciv_meas_chartevents_value,Clinical Finding,,A Flut (Atrial Flutter),1970-01-01,2099-12-31,
2000031018,A Paced,Condition,mimiciv_meas_chartevents_value,Clinical Finding,,A Paced,1970-01-01,2099-12-31,
2000031019,AF (Atrial Fibrillation),Condition,mimiciv_meas_chartevents_value,Clinical Finding,,AF (Atrial Fibrillation),1970-01-01,2099-12-31,
2000031020,AV Paced,Condition,mimiciv_meas_chartevents_value,Clinical Finding,,AV Paced,1970-01-01,2099-12-31,
2000031021,JR (Junctional Rhythm),Condition,mimiciv_meas_chartevents_value,Clinical Finding,,JR (Junctional Rhythm),1970-01-01,2099-12-31,
2000031022,LBBB (Left Bundle Branch Block),Condition,mimiciv_meas_chartevents_value,Clinical Finding,,LBBB (Left Bundle Branch Block),1970-01-01,2099-12-31,
2000031023,RBBB (Right Bundle Branch Block),Condition,mimiciv_meas_chartevents_value,Clinical Finding,,RBBB (Right Bundle Branch Block),1970-01-01,2099-12-31,
2000031024,SA (Sinus Arrhythmia),Condition,mimiciv_meas_chartevents_value,Clinical Finding,,SA (Sinus Arrhythmia),1970-01-01,2099-12-31,
2000031025,SB (Sinus Bradycardia),Condition,mimiciv_meas_chartevents_value,Clinical Finding,,SB (Sinus Bradycardia),1970-01-01,2099-12-31,
2000031026,SR (Sinus Rhythm),Condition,mimiciv_meas_chartevents_value,Clinical Finding,,SR (Sinus Rhythm),1970-01-01,2099-12-31,
2000031027,ST (Sinus Tachycardia),Condition,mimiciv_meas_chartevents_value,Clinical Finding,,ST (Sinus Tachycardia),1970-01-01,2099-12-31,
2000031028,SVT (Supra Ventricular Tachycardia),Condition,mimiciv_meas_chartevents_value,Clinical Finding,,SVT (Supra Ventricular Tachycardia),1970-01-01,2099-12-31,
2000031029,V Paced,Condition,mimiciv_meas_chartevents_value,Clinical Finding,,V Paced,1970-01-01,2099-12-31,
