concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000031001,45877096,Maps to,1970-01-01,2099-12-31,
2000031002,45879290,Maps to,1970-01-01,2099-12-31,
2000031003,45883018,Maps to,1970-01-01,2099-12-31,
2000031004,21499419,Maps to,1970-01-01,2099-12-31,
2000031005,45884784,Maps to,1970-01-01,2099-12-31,
2000031006,45883019,Maps to,1970-01-01,2099-12-31,
2000031007,45883022,Maps to,1970-01-01,2099-12-31,
2000031008,45883893,Maps to,1970-01-01,2099-12-31,
2000031009,45884787,Maps to,1970-01-01,2099-12-31,
2000031010,45881038,Maps to,1970-01-01,2099-12-31,
2000031011,45884786,Maps to,1970-01-01,2099-12-31,
2000031012,45883894,Maps to,1970-01-01,2099-12-31,
2000031013,45884785,Maps to,1970-01-01,2099-12-31,
2000031014,316135,Maps to,1970-01-01,2099-12-31,
2000031015,4064459,Maps to,1970-01-01,2099-12-31,
2000031016,4064874,Maps to,1970-01-01,2099-12-31,
2000031017,4065288,Maps to,1970-01-01,2099-12-31,
2000031018,4089488,Maps to,1970-01-01,2099-12-31,
2000031019,4064452,Maps to,1970-01-01,2099-12-31,
2000031020,4088998,Maps to,1970-01-01,2099-12-31,
2000031021,4140001,Maps to,1970-01-01,2099-12-31,
2000031022,4064614,Maps to,1970-01-01,2099-12-31,
2000031023,4064460,Maps to,1970-01-01,2099-12-31,
2000031024,4141820,Maps to,1970-01-01,2099-12-31,
2000031025,4138456,Maps to,1970-01-01,2099-12-31,
2000031026,4145513,Maps to,1970-01-01,2099-12-31,
2000031027,4140598,Maps to,1970-01-01,2099-12-31,
2000031028,4145510,Maps to,1970-01-01,2099-12-31,
2000031029,4092038,Maps to,1970-01-01,2099-12-31,
45877096,2000031001,Mapped from,1970-01-01,2099-12-31,
45879290,2000031002,Mapped from,1970-01-01,2099-12-31,
45883018,2000031003,Mapped from,1970-01-01,2099-12-31,
21499419,2000031004,Mapped from,1970-01-01,2099-12-31,
45884784,2000031005,Mapped from,1970-01-01,2099-12-31,
45883019,2000031006,Mapped from,1970-01-01,2099-12-31,
45883022,2000031007,Mapped from,1970-01-01,2099-12-31,
45883893,2000031008,Mapped from,1970-01-01,2099-12-31,
45884787,2000031009,Mapped from,1970-01-01,2099-12-31,
45881038,2000031010,Mapped from,1970-01-01,2099-12-31,
45884786,2000031011,Mapped from,1970-01-01,2099-12-31,
45883894,2000031012,Mapped from,1970-01-01,2099-12-31,
45884785,2000031013,Mapped from,1970-01-01,2099-12-31,
316135,2000031014,Mapped from,1970-01-01,2099-12-31,
4064459,2000031015,Mapped from,1970-01-01,2099-12-31,
4064874,2000031016,Mapped from,1970-01-01,2099-12-31,
4065288,2000031017,Mapped from,1970-01-01,2099-12-31,
4089488,2000031018,Mapped from,1970-01-01,2099-12-31,
4064452,2000031019,Mapped from,1970-01-01,2099-12-31,
4088998,2000031020,Mapped from,1970-01-01,2099-12-31,
4140001,2000031021,Mapped from,1970-01-01,2099-12-31,
4064614,2000031022,Mapped from,1970-01-01,2099-12-31,
4064460,2000031023,Mapped from,1970-01-01,2099-12-31,
4141820,2000031024,Mapped from,1970-01-01,2099-12-31,
4138456,2000031025,Mapped from,1970-01-01,2099-12-31,
4145513,2000031026,Mapped from,1970-01-01,2099-12-31,
4140598,2000031027,Mapped from,1970-01-01,2099-12-31,
4145510,2000031028,Mapped from,1970-01-01,2099-12-31,
4092038,2000031029,Mapped from,1970-01-01,2099-12-31,
