concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000001001,Alveolar-arterial Gradient|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50801,1970-01-01,2099-12-31,
2000001002,Base Excess|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50802,1970-01-01,2099-12-31,
2000001003,Calculated Total CO2|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50804,1970-01-01,2099-12-31,
2000001004,"Chloride, Whole Blood|Blood|Blood Gas",Measurement,mimiciv_meas_lab_loinc,Lab Test,,50806,1970-01-01,2099-12-31,
2000001005,Free Calcium|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50808,1970-01-01,2099-12-31,
2000001006,Glucose|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50809,1970-01-01,2099-12-31,
2000001007,"Hematocrit, Calculated|Blood|Blood Gas",Measurement,mimiciv_meas_lab_loinc,Lab Test,,50810,1970-01-01,2099-12-31,
2000001008,Hemoglobin|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50811,1970-01-01,2099-12-31,
2000001009,Intubated|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50812,1970-01-01,2099-12-31,
2000001010,Lactate|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50813,1970-01-01,2099-12-31,
2000001011,O2 Flow|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50815,1970-01-01,2099-12-31,
2000001012,Oxygen|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50816,1970-01-01,2099-12-31,
2000001013,Oxygen Saturation|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50817,1970-01-01,2099-12-31,
2000001014,pCO2|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50818,1970-01-01,2099-12-31,
2000001015,PEEP|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50819,1970-01-01,2099-12-31,
2000001016,pH|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50820,1970-01-01,2099-12-31,
2000001017,pO2|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50821,1970-01-01,2099-12-31,
2000001018,"Potassium, Whole Blood|Blood|Blood Gas",Measurement,mimiciv_meas_lab_loinc,Lab Test,,50822,1970-01-01,2099-12-31,
2000001019,Required O2|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50823,1970-01-01,2099-12-31,
2000001020,"Sodium, Whole Blood|Blood|Blood Gas",Measurement,mimiciv_meas_lab_loinc,Lab Test,,50824,1970-01-01,2099-12-31,
2000001021,Temperature|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50825,1970-01-01,2099-12-31,
2000001022,Tidal Volume|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50826,1970-01-01,2099-12-31,
2000001023,Ventilation Rate|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50827,1970-01-01,2099-12-31,
2000001024,Ventilator|Blood|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50828,1970-01-01,2099-12-31,
2000001025,pH|Other Body Fluid|Blood Gas,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50831,1970-01-01,2099-12-31,
2000001026,"Albumin, Ascites|Ascites|Chemistry",Measurement,mimiciv_meas_lab_loinc,Lab Test,,50835,1970-01-01,2099-12-31,
2000001027,"Amylase, Ascites|Ascites|Chemistry",Measurement,mimiciv_meas_lab_loinc,Lab Test,,50836,1970-01-01,2099-12-31,
2000001028,"Creatinine, Ascites|Ascites|Chemistry",Measurement,mimiciv_meas_lab_loinc,Lab Test,,50841,1970-01-01,2099-12-31,
2000001029,"Lactate Dehydrogenase, Ascites|Ascites|Chemistry",Measurement,mimiciv_meas_lab_loinc,Lab Test,,50843,1970-01-01,2099-12-31,
2000001030,"Total Protein, Ascites|Ascites|Chemistry",Measurement,mimiciv_meas_lab_loinc,Lab Test,,50849,1970-01-01,2099-12-31,
2000001031,25-OH Vitamin D|Blood|Chemistry,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50853,1970-01-01,2099-12-31,
2000001032,"Acid Phosphatase, Non-Prostatic|Blood|Chemistry",Measurement,mimiciv_meas_lab_loinc,Lab Test,,50859,1970-01-01,2099-12-31,
2000001033,"AFP, Maternal Screen|Blood|Chemistry",Measurement,mimiciv_meas_lab_loinc,Lab Test,,50860,1970-01-01,2099-12-31,
2000001034,Amikacin|Blood|Chemistry,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50865,1970-01-01,2099-12-31,
2000001035,Barbiturate Screen|Blood|Chemistry,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50879,1970-01-01,2099-12-31,
2000001036,Benzodiazepine Screen|Blood|Chemistry,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50880,1970-01-01,2099-12-31,
2000001037,"Cholesterol, LDL, Measured|Blood|Chemistry",Measurement,mimiciv_meas_lab_loinc,Lab Test,,50906,1970-01-01,2099-12-31,
2000001038,CK-MB Index|Blood|Chemistry,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50908,1970-01-01,2099-12-31,
2000001039,D-Dimer|Blood|Chemistry,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50915,1970-01-01,2099-12-31,
2000001040,Estimated GFR (MDRD equation)|Blood|Chemistry,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50920,1970-01-01,2099-12-31,
2000001041,Glucose|Blood|Chemistry,Measurement,mimiciv_meas_lab_loinc,Lab Test,,50931,1970-01-01,2099-12-31,
