concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000001001,3007913,Maps to,1970-01-01,2099-12-31,
2000001002,3012501,Maps to,1970-01-01,2099-12-31,
2000001003,3031147,Maps to,1970-01-01,2099-12-31,
2000001004,3018572,Maps to,1970-01-01,2099-12-31,
2000001005,3021119,Maps to,1970-01-01,2099-12-31,
2000001006,3000483,Maps to,1970-01-01,2099-12-31,
2000001007,3009542,Maps to,1970-01-01,2099-12-31,
2000001008,3000963,Maps to,1970-01-01,2099-12-31,
2000001009,45884415,Maps to,1970-01-01,2099-12-31,
2000001010,3047181,Maps to,1970-01-01,2099-12-31,
2000001011,3005629,Maps to,1970-01-01,2099-12-31,
2000001012,3024882,Maps to,1970-01-01,2099-12-31,
2000001013,3013502,Maps to,1970-01-01,2099-12-31,
2000001014,3013290,Maps to,1970-01-01,2099-12-31,
2000001015,3022875,Maps to,1970-01-01,2099-12-31,
2000001016,3010421,Maps to,1970-01-01,2099-12-31,
2000001017,3027315,Maps to,1970-01-01,2099-12-31,
2000001018,3005456,Maps to,1970-01-01,2099-12-31,
2000001019,3020716,Maps to,1970-01-01,2099-12-31,
2000001020,3000285,Maps to,1970-01-01,2099-12-31,
2000001021,3020891,Maps to,1970-01-01,2099-12-31,
2000001022,3012410,Maps to,1970-01-01,2099-12-31,
2000001023,3024171,Maps to,1970-01-01,2099-12-31,
2000001024,3004921,Maps to,1970-01-01,2099-12-31,
2000001025,3018672,Maps to,1970-01-01,2099-12-31,
2000001026,3026692,Maps to,1970-01-01,2099-12-31,
2000001027,3008691,Maps to,1970-01-01,2099-12-31,
2000001028,3016647,Maps to,1970-01-01,2099-12-31,
2000001029,40763080,Maps to,1970-01-01,2099-12-31,
2000001030,3002331,Maps to,1970-01-01,2099-12-31,
2000001031,3020149,Maps to,1970-01-01,2099-12-31,
2000001032,3009383,Maps to,1970-01-01,2099-12-31,
2000001033,3009306,Maps to,1970-01-01,2099-12-31,
2000001034,3036152,Maps to,1970-01-01,2099-12-31,
2000001035,3003132,Maps to,1970-01-01,2099-12-31,
2000001036,3031951,Maps to,1970-01-01,2099-12-31,
2000001037,3001308,Maps to,1970-01-01,2099-12-31,
2000001038,3016311,Maps to,1970-01-01,2099-12-31,
2000001039,3051714,Maps to,1970-01-01,2099-12-31,
2000001040,46236952,Maps to,1970-01-01,2099-12-31,
2000001041,3000483,Maps to,1970-01-01,2099-12-31,
2000001042,3038136,Maps to,1970-01-01,2099-12-31,
2000001043,3011922,Maps to,1970-01-01,2099-12-31,
2000001044,3018806,Maps to,1970-01-01,2099-12-31,
2000001045,3021044,Maps to,1970-01-01,2099-12-31,
2000001046,3004905,Maps to,1970-01-01,2099-12-31,
2000001047,44816844,Maps to,1970-01-01,2099-12-31,
2000001048,3017115,Maps to,1970-01-01,2099-12-31,
2000001049,3029187,Maps to,1970-01-01,2099-12-31,
2000001050,3008295,Maps to,1970-01-01,2099-12-31,
2000001051,3004588,Maps to,1970-01-01,2099-12-31,
2000001052,3026250,Maps to,1970-01-01,2099-12-31,
2000001053,3025478,Maps to,1970-01-01,2099-12-31,
2000001054,3025455,Maps to,1970-01-01,2099-12-31,
2000001055,3025380,Maps to,1970-01-01,2099-12-31,
2000001056,3036848,Maps to,1970-01-01,2099-12-31,
2000001057,3011544,Maps to,1970-01-01,2099-12-31,
2000001058,3033364,Maps to,1970-01-01,2099-12-31,
2000001059,3003403,Maps to,1970-01-01,2099-12-31,
2000001060,3048752,Maps to,1970-01-01,2099-12-31,
2000001061,3003434,Maps to,1970-01-01,2099-12-31,
2000001062,3049226,Maps to,1970-01-01,2099-12-31,
2000001063,3012516,Maps to,1970-01-01,2099-12-31,
2000001064,3027944,Maps to,1970-01-01,2099-12-31,
2000001065,3000764,Maps to,1970-01-01,2099-12-31,
2000001066,3016879,Maps to,1970-01-01,2099-12-31,
2000001067,3016723,Maps to,1970-01-01,2099-12-31,
2000001068,3018954,Maps to,1970-01-01,2099-12-31,
2000001069,3016750,Maps to,1970-01-01,2099-12-31,
2000001070,3036180,Maps to,1970-01-01,2099-12-31,
2000001071,3027008,Maps to,1970-01-01,2099-12-31,
2000001072,3026782,Maps to,1970-01-01,2099-12-31,
2000001073,3015736,Maps to,1970-01-01,2099-12-31,
2000001074,3011965,Maps to,1970-01-01,2099-12-31,
2000001075,3017250,Maps to,1970-01-01,2099-12-31,
2000001076,3017161,Maps to,1970-01-01,2099-12-31,
2000001077,3046003,Maps to,1970-01-01,2099-12-31,
2000001078,3019298,Maps to,1970-01-01,2099-12-31,
2000001079,3041635,Maps to,1970-01-01,2099-12-31,
2000001080,3024936,Maps to,1970-01-01,2099-12-31,
2000001081,3033483,Maps to,1970-01-01,2099-12-31,
2000001082,3024394,Maps to,1970-01-01,2099-12-31,
2000001083,42868645,Maps to,1970-01-01,2099-12-31,
2000001084,3008855,Maps to,1970-01-01,2099-12-31,
2000001085,3009613,Maps to,1970-01-01,2099-12-31,
2000001086,3019198,Maps to,1970-01-01,2099-12-31,
2000001087,3014543,Maps to,1970-01-01,2099-12-31,
2000001088,3008541,Maps to,1970-01-01,2099-12-31,
2000001089,3018791,Maps to,1970-01-01,2099-12-31,
2000001090,3031831,Maps to,1970-01-01,2099-12-31,
2000001091,3010201,Maps to,1970-01-01,2099-12-31,
2000001092,3020358,Maps to,1970-01-01,2099-12-31,
2000001093,3015455,Maps to,1970-01-01,2099-12-31,
2000001094,3016228,Maps to,1970-01-01,2099-12-31,
2000001095,3010503,Maps to,1970-01-01,2099-12-31,
2000001096,3022878,Maps to,1970-01-01,2099-12-31,
2000001097,3022878,Maps to,1970-01-01,2099-12-31,
2000001098,3018071,Maps to,1970-01-01,2099-12-31,
2000001099,3022703,Maps to,1970-01-01,2099-12-31,
2000001100,3011497,Maps to,1970-01-01,2099-12-31,
2000001101,3022533,Maps to,1970-01-01,2099-12-31,
2000001102,3011412,Maps to,1970-01-01,2099-12-31,
2000001103,3019183,Maps to,1970-01-01,2099-12-31,
2000001104,40757349,Maps to,1970-01-01,2099-12-31,
2000001105,3020383,Maps to,1970-01-01,2099-12-31,
2000001106,3018627,Maps to,1970-01-01,2099-12-31,
2000001107,3007166,Maps to,1970-01-01,2099-12-31,
2000001108,3005460,Maps to,1970-01-01,2099-12-31,
2000001109,3004291,Maps to,1970-01-01,2099-12-31,
2000001110,3043394,Maps to,1970-01-01,2099-12-31,
2000001111,3002153,Maps to,1970-01-01,2099-12-31,
2000001112,3007451,Maps to,1970-01-01,2099-12-31,
2000001113,3051714,Maps to,1970-01-01,2099-12-31,
2000001114,3003882,Maps to,1970-01-01,2099-12-31,
2000001115,3016407,Maps to,1970-01-01,2099-12-31,
2000001116,3003047,Maps to,1970-01-01,2099-12-31,
2000001117,3035715,Maps to,1970-01-01,2099-12-31,
2000001118,3031335,Maps to,1970-01-01,2099-12-31,
2000001119,3018760,Maps to,1970-01-01,2099-12-31,
2000001120,3002030,Maps to,1970-01-01,2099-12-31,
2000001121,3002179,Maps to,1970-01-01,2099-12-31,
2000001122,3017181,Maps to,1970-01-01,2099-12-31,
2000001123,3019880,Maps to,1970-01-01,2099-12-31,
2000001124,3011893,Maps to,1970-01-01,2099-12-31,
2000001125,3023520,Maps to,1970-01-01,2099-12-31,
2000001126,3007124,Maps to,1970-01-01,2099-12-31,
2000001127,46234968,Maps to,1970-01-01,2099-12-31,
2000001128,3018367,Maps to,1970-01-01,2099-12-31,
2000001129,3039644,Maps to,1970-01-01,2099-12-31,
2000001130,3000905,Maps to,1970-01-01,2099-12-31,
2000001131,3029695,Maps to,1970-01-01,2099-12-31,
2000001132,3031244,Maps to,1970-01-01,2099-12-31,
2000001133,3000109,Maps to,1970-01-01,2099-12-31,
2000001134,3013075,Maps to,1970-01-01,2099-12-31,
2000001135,3027365,Maps to,1970-01-01,2099-12-31,
2000001136,3012205,Maps to,1970-01-01,2099-12-31,
2000001137,40760512,Maps to,1970-01-01,2099-12-31,
2000001138,3030000,Maps to,1970-01-01,2099-12-31,
2000001139,3033246,Maps to,1970-01-01,2099-12-31,
2000001140,3010939,Maps to,1970-01-01,2099-12-31,
2000001141,3014360,Maps to,1970-01-01,2099-12-31,
2000001142,3031007,Maps to,1970-01-01,2099-12-31,
2000001143,3009872,Maps to,1970-01-01,2099-12-31,
2000001144,3028400,Maps to,1970-01-01,2099-12-31,
2000001145,3042845,Maps to,1970-01-01,2099-12-31,
2000001146,3035611,Maps to,1970-01-01,2099-12-31,
2000001147,42868642,Maps to,1970-01-01,2099-12-31,
2000001148,3029170,Maps to,1970-01-01,2099-12-31,
2000001149,3024936,Maps to,1970-01-01,2099-12-31,
2000001150,3009361,Maps to,1970-01-01,2099-12-31,
2000001151,40771130,Maps to,1970-01-01,2099-12-31,
2000001152,3013794,Maps to,1970-01-01,2099-12-31,
2000001153,3010144,Maps to,1970-01-01,2099-12-31,
2000001154,3017161,Maps to,1970-01-01,2099-12-31,
2000001155,3034064,Maps to,1970-01-01,2099-12-31,
2000001156,3033713,Maps to,1970-01-01,2099-12-31,
2000001157,3022430,Maps to,1970-01-01,2099-12-31,
2000001158,40760530,Maps to,1970-01-01,2099-12-31,
2000001159,3031560,Maps to,1970-01-01,2099-12-31,
2000001160,3031912,Maps to,1970-01-01,2099-12-31,
2000001161,40763401,Maps to,1970-01-01,2099-12-31,
2000001162,3030804,Maps to,1970-01-01,2099-12-31,
2000001163,3014859,Maps to,1970-01-01,2099-12-31,
2000001164,40760536,Maps to,1970-01-01,2099-12-31,
2000001165,3029617,Maps to,1970-01-01,2099-12-31,
2000001166,40760538,Maps to,1970-01-01,2099-12-31,
2000001167,3021453,Maps to,1970-01-01,2099-12-31,
2000001168,40760540,Maps to,1970-01-01,2099-12-31,
2000001169,3005087,Maps to,1970-01-01,2099-12-31,
2000001170,3024936,Maps to,1970-01-01,2099-12-31,
2000001171,3038104,Maps to,1970-01-01,2099-12-31,
2000001172,3024394,Maps to,1970-01-01,2099-12-31,
2000001173,40765177,Maps to,1970-01-01,2099-12-31,
2000001174,3023547,Maps to,1970-01-01,2099-12-31,
2000001175,3017161,Maps to,1970-01-01,2099-12-31,
2000001176,3028880,Maps to,1970-01-01,2099-12-31,
2000001177,3001893,Maps to,1970-01-01,2099-12-31,
2000001178,42868643,Maps to,1970-01-01,2099-12-31,
2000001179,3024936,Maps to,1970-01-01,2099-12-31,
2000001180,3043387,Maps to,1970-01-01,2099-12-31,
2000001181,3024394,Maps to,1970-01-01,2099-12-31,
2000001182,42868644,Maps to,1970-01-01,2099-12-31,
2000001183,3015094,Maps to,1970-01-01,2099-12-31,
2000001184,3028308,Maps to,1970-01-01,2099-12-31,
2000001185,3011397,Maps to,1970-01-01,2099-12-31,
