concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000029001,/hpf,Unit,mimiciv_meas_unit,Unit,,/hpf,1970-01-01,2099-12-31,
2000029002,/min,Unit,mimiciv_meas_unit,Unit,,/min,1970-01-01,2099-12-31,
2000029003,#/hpf,Unit,mimiciv_meas_unit,Unit,,#/hpf,1970-01-01,2099-12-31,
2000029004,#/lpf,Unit,mimiciv_meas_unit,Unit,,#/lpf,1970-01-01,2099-12-31,
2000029005,#/uL,Unit,mimiciv_meas_unit,Unit,,#/uL,1970-01-01,2099-12-31,
2000029006,°C,Unit,mimiciv_meas_unit,Unit,,°C,1970-01-01,2099-12-31,
2000029007,°F,Unit,mimiciv_meas_unit,Unit,,°F,1970-01-01,2099-12-31,
2000029008,+/-,Unit,mimiciv_meas_unit,Unit,,+/-,1970-01-01,2099-12-31,
2000029009,bpm,Unit,mimiciv_meas_unit,Unit,,bpm,1970-01-01,2099-12-31,
2000029010,cm,Unit,mimiciv_meas_unit,Unit,,cm,1970-01-01,2099-12-31,
2000029011,cmH2O,Unit,mimiciv_meas_unit,Unit,,cmH2O,1970-01-01,2099-12-31,
2000029012,day,Unit,mimiciv_meas_unit,Unit,,day,1970-01-01,2099-12-31,
2000029013,EU/dL,Unit,mimiciv_meas_unit,Unit,,EU/dL,1970-01-01,2099-12-31,
2000029014,g/dl,Unit,mimiciv_meas_unit,Unit,,g/dl,1970-01-01,2099-12-31,
2000029015,GPL,Unit,mimiciv_meas_unit,Unit,,GPL,1970-01-01,2099-12-31,
2000029016,hour,Unit,mimiciv_meas_unit,Unit,,hour,1970-01-01,2099-12-31,
2000029017,hrs,Unit,mimiciv_meas_unit,Unit,,hrs,1970-01-01,2099-12-31,
2000029018,Inch,Unit,mimiciv_meas_unit,Unit,,Inch,1970-01-01,2099-12-31,
2000029019,insp/min,Unit,mimiciv_meas_unit,Unit,,insp/min,1970-01-01,2099-12-31,
2000029020,IU/L,Unit,mimiciv_meas_unit,Unit,,IU/L,1970-01-01,2099-12-31,
2000029021,IU/mL,Unit,mimiciv_meas_unit,Unit,,IU/mL,1970-01-01,2099-12-31,
2000029022,K/uL,Unit,mimiciv_meas_unit,Unit,,K/uL,1970-01-01,2099-12-31,
2000029023,kg,Unit,mimiciv_meas_unit,Unit,,kg,1970-01-01,2099-12-31,
2000029024,L/min/m2,Unit,mimiciv_meas_unit,Unit,,L/min/m2,1970-01-01,2099-12-31,
2000029025,log international unit per milliliter,Unit,mimiciv_meas_unit,Unit,,log10 IU/mL,1970-01-01,2099-12-31,
2000029026,m/uL,Unit,mimiciv_meas_unit,Unit,,m/uL,1970-01-01,2099-12-31,
2000029027,mEq/L,Unit,mimiciv_meas_unit,Unit,,mEq/L,1970-01-01,2099-12-31,
2000029028,mg/24hr,Unit,mimiciv_meas_unit,Unit,,mg/24hr,1970-01-01,2099-12-31,
2000029029,mIU/mL,Unit,mimiciv_meas_unit,Unit,,mIU/mL,1970-01-01,2099-12-31,
2000029030,mL/beat,Unit,mimiciv_meas_unit,Unit,,mL/beat,1970-01-01,2099-12-31,
2000029031,ml/hr,Unit,mimiciv_meas_unit,Unit,,ml/hr,1970-01-01,2099-12-31,
2000029032,mL/m2,Unit,mimiciv_meas_unit,Unit,,mL/m2,1970-01-01,2099-12-31,
2000029033,ml/min,Unit,mimiciv_meas_unit,Unit,,ml/min,1970-01-01,2099-12-31,
2000029034,mm Hg,Unit,mimiciv_meas_unit,Unit,,mm Hg,1970-01-01,2099-12-31,
2000029035,mm/hr,Unit,mimiciv_meas_unit,Unit,,mm/hr,1970-01-01,2099-12-31,
2000029036,mmHg,Unit,mimiciv_meas_unit,Unit,,mmHg,1970-01-01,2099-12-31,
2000029037,mmHg.,Unit,mimiciv_meas_unit,Unit,,mmHg.,1970-01-01,2099-12-31,
2000029038,mOsm/kg,Unit,mimiciv_meas_unit,Unit,,mOsm/kg,1970-01-01,2099-12-31,
2000029039,MPL,Unit,mimiciv_meas_unit,Unit,,MPL,1970-01-01,2099-12-31,
2000029040,None,Unit,mimiciv_meas_unit,Unit,,None,1970-01-01,2099-12-31,
2000029041,Pos/Neg,Unit,mimiciv_meas_unit,Unit,,Pos/Neg,1970-01-01,2099-12-31,
2000029042,Ratio,Unit,mimiciv_meas_unit,Unit,,Ratio,1970-01-01,2099-12-31,
2000029043,Score,Unit,mimiciv_meas_unit,Unit,,Score,1970-01-01,2099-12-31,
2000029044,sec,Unit,mimiciv_meas_unit,Unit,,sec,1970-01-01,2099-12-31,
2000029045,U,Unit,mimiciv_meas_unit,Unit,,U,1970-01-01,2099-12-31,
2000029046,U/g/Hb,Unit,mimiciv_meas_unit,Unit,,U/g/Hb,1970-01-01,2099-12-31,
2000029047,U/L,Unit,mimiciv_meas_unit,Unit,,U/L,1970-01-01,2099-12-31,
2000029048,U/mL,Unit,mimiciv_meas_unit,Unit,,U/mL,1970-01-01,2099-12-31,
2000029049,uIU/mL,Unit,mimiciv_meas_unit,Unit,,uIU/mL,1970-01-01,2099-12-31,
2000029050,units,Unit,mimiciv_meas_unit,Unit,,units,1970-01-01,2099-12-31,
2000029051,uU/ML,Unit,mimiciv_meas_unit,Unit,,uU/ML,1970-01-01,2099-12-31,
2000029052,nanogram of fibrinogen equivalent unit per milliliter,Unit,mimiciv_meas_unit,Unit,,ng/mL FEU,1970-01-01,2099-12-31,
2000029053,log copies per milliliter,Unit,mimiciv_meas_unit,Unit,,log10 copies/mL,1970-01-01,2099-12-31,
2000029054,log copies per milliliter,Unit,mimiciv_meas_unit,Unit,,log10 cop/mL,1970-01-01,2099-12-31,
2000029901,millisecond,Unit,mimiciv_meas_wf_unit,Unit,,millisecond,1970-01-01,2099-12-31,
2000029902,beats/min,Unit,mimiciv_meas_wf_unit,Unit,,beats/min,1970-01-01,2099-12-31,
2000029903,bel microvolt,Unit,mimiciv_meas_wf_unit,Unit,,bel microvolt,1970-01-01,2099-12-31,
