concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000029001,8786,Maps to,1970-01-01,2099-12-31,
2000029002,8541,Maps to,1970-01-01,2099-12-31,
2000029003,8889,Maps to,1970-01-01,2099-12-31,
2000029004,8765,Maps to,1970-01-01,2099-12-31,
2000029005,8784,Maps to,1970-01-01,2099-12-31,
2000029006,586323,Maps to,1970-01-01,2099-12-31,
2000029007,9289,Maps to,1970-01-01,2099-12-31,
2000029008,8510,Maps to,1970-01-01,2099-12-31,
2000029009,8483,Maps to,1970-01-01,2099-12-31,
2000029010,8582,Maps to,1970-01-01,2099-12-31,
2000029011,44777590,Maps to,1970-01-01,2099-12-31,
2000029012,8512,Maps to,1970-01-01,2099-12-31,
2000029013,8829,Maps to,1970-01-01,2099-12-31,
2000029014,8713,Maps to,1970-01-01,2099-12-31,
2000029015,9100,Maps to,1970-01-01,2099-12-31,
2000029016,8505,Maps to,1970-01-01,2099-12-31,
2000029017,8505,Maps to,1970-01-01,2099-12-31,
2000029018,9327,Maps to,1970-01-01,2099-12-31,
2000029019,8541,Maps to,1970-01-01,2099-12-31,
2000029020,8923,Maps to,1970-01-01,2099-12-31,
2000029021,8985,Maps to,1970-01-01,2099-12-31,
2000029022,8848,Maps to,1970-01-01,2099-12-31,
2000029023,9529,Maps to,1970-01-01,2099-12-31,
2000029024,32710,Maps to,1970-01-01,2099-12-31,
2000029025,9084,Maps to,1970-01-01,2099-12-31,
2000029026,8815,Maps to,1970-01-01,2099-12-31,
2000029027,9557,Maps to,1970-01-01,2099-12-31,
2000029028,8909,Maps to,1970-01-01,2099-12-31,
2000029029,9550,Maps to,1970-01-01,2099-12-31,
2000029030,9569,Maps to,1970-01-01,2099-12-31,
2000029031,44777613,Maps to,1970-01-01,2099-12-31,
2000029032,32739,Maps to,1970-01-01,2099-12-31,
2000029033,8795,Maps to,1970-01-01,2099-12-31,
2000029034,8876,Maps to,1970-01-01,2099-12-31,
2000029035,8752,Maps to,1970-01-01,2099-12-31,
2000029036,8876,Maps to,1970-01-01,2099-12-31,
2000029037,8876,Maps to,1970-01-01,2099-12-31,
2000029038,8862,Maps to,1970-01-01,2099-12-31,
2000029039,9101,Maps to,1970-01-01,2099-12-31,
2000029040,4124462,Maps to,1970-01-01,2099-12-31,
2000029041,8510,Maps to,1970-01-01,2099-12-31,
2000029042,8523,Maps to,1970-01-01,2099-12-31,
2000029043,44777566,Maps to,1970-01-01,2099-12-31,
