concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000041001,Heart rate,Measurement,mimiciv_meas_wf,Clinical Observation,,GLOBAL HEART RATE,1970-01-01,2099-12-31,
2000041002,P-R Interval,Measurement,mimiciv_meas_wf,Clinical Observation,,GLOBAL PR INT,1970-01-01,2099-12-31,
2000041003,QRS axis,Measurement,mimiciv_meas_wf,Clinical Observation,,GLOBAL QRS AXIS,1970-01-01,2099-12-31,
2000041004,QRS duration,Measurement,mimiciv_meas_wf,Clinical Observation,,GLOBAL QRS Dur,1970-01-01,2099-12-31,
2000041005,Q-T interval,Measurement,mimiciv_meas_wf,Clinical Observation,,GLOBAL QT,1970-01-01,2099-12-31,
2000041006,Q-T interval corrected,Measurement,mimiciv_meas_wf,Clinical Observation,,GLOBAL QTc,1970-01-01,2099-12-31,
2000041007,QRS terminal amplitude in lead I,Measurement,mimiciv_meas_wf,Clinical Observation,,I F AMP,1970-01-01,2099-12-31,
2000041008,QRS initial amplitude in lead I,Measurement,mimiciv_meas_wf,Clinical Observation,,I I AMP,1970-01-01,2099-12-31,
2000041009,Q wave depth in lead I,Measurement,mimiciv_meas_wf,Clinical Observation,,I Q AMP,1970-01-01,2099-12-31,
2000041010,Q wave duration in lead I,Measurement,mimiciv_meas_wf,Clinical Observation,,I Q DUR,1970-01-01,2099-12-31,
2000041011,QRS duration in lead I,Measurement,mimiciv_meas_wf,Clinical Observation,,I QRS DUR,1970-01-01,2099-12-31,
2000041012,R wave amplitude in lead I,Measurement,mimiciv_meas_wf,Clinical Observation,,I R AMP,1970-01-01,2099-12-31,
2000041013,R wave duration in lead I,Measurement,mimiciv_meas_wf,Clinical Observation,,I R DUR,1970-01-01,2099-12-31,
2000041014,S wave amplitude in lead I,Measurement,mimiciv_meas_wf,Clinical Observation,,I S AMP,1970-01-01,2099-12-31,
2000041015,S wave duration in lead I,Measurement,mimiciv_meas_wf,Clinical Observation,,I S DUR,1970-01-01,2099-12-31,
2000041016,ST amplitude.J point+60 ms Lead I,Measurement,mimiciv_meas_wf,Clinical Observation,,I STJ60,1970-01-01,2099-12-31,
2000041017,ST amplitude.J point+80 ms Lead I,Measurement,mimiciv_meas_wf,Clinical Observation,,I STJ80,1970-01-01,2099-12-31,
2000041018,T wave amplitude in lead I,Measurement,mimiciv_meas_wf,Clinical Observation,,I T AMP,1970-01-01,2099-12-31,
2000041019,T wave amplitude in lead I,Measurement,mimiciv_meas_wf,Clinical Observation,,I TPOS AMP,1970-01-01,2099-12-31,
2000041020,QRS terminal amplitude in lead III,Measurement,mimiciv_meas_wf,Clinical Observation,,III F AMP,1970-01-01,2099-12-31,
2000041021,QRS initial amplitude in lead III,Measurement,mimiciv_meas_wf,Clinical Observation,,III I AMP,1970-01-01,2099-12-31,
2000041022,Q wave depth in lead III,Measurement,mimiciv_meas_wf,Clinical Observation,,III Q AMP,1970-01-01,2099-12-31,
2000041023,Q wave duration in lead III,Measurement,mimiciv_meas_wf,Clinical Observation,,III Q DUR,1970-01-01,2099-12-31,
2000041024,QRS duration in lead III,Measurement,mimiciv_meas_wf,Clinical Observation,,III QRS DUR,1970-01-01,2099-12-31,
2000041025,R wave amplitude in lead III,Measurement,mimiciv_meas_wf,Clinical Observation,,III R AMP,1970-01-01,2099-12-31,
