concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000041001,3027018,Maps to,1970-01-01,2099-12-31,
2000041002,3007794,Maps to,1970-01-01,2099-12-31,
2000041003,3006277,Maps to,1970-01-01,2099-12-31,
2000041004,3022022,Maps to,1970-01-01,2099-12-31,
2000041005,3025809,Maps to,1970-01-01,2099-12-31,
2000041006,3026258,Maps to,1970-01-01,2099-12-31,
2000041007,3009858,Maps to,1970-01-01,2099-12-31,
2000041008,3025807,Maps to,1970-01-01,2099-12-31,
2000041009,3036176,Maps to,1970-01-01,2099-12-31,
2000041010,3037087,Maps to,1970-01-01,2099-12-31,
2000041011,3017331,Maps to,1970-01-01,2099-12-31,
2000041012,3003739,Maps to,1970-01-01,2099-12-31,
2000041013,3027200,Maps to,1970-01-01,2099-12-31,
2000041014,3012698,Maps to,1970-01-01,2099-12-31,
2000041015,3004962,Maps to,1970-01-01,2099-12-31,
2000041016,3017487,Maps to,1970-01-01,2099-12-31,
2000041017,3014402,Maps to,1970-01-01,2099-12-31,
2000041018,3024463,Maps to,1970-01-01,2099-12-31,
2000041019,3024463,Maps to,1970-01-01,2099-12-31,
2000041020,3019351,Maps to,1970-01-01,2099-12-31,
2000041021,3026256,Maps to,1970-01-01,2099-12-31,
2000041022,3001472,Maps to,1970-01-01,2099-12-31,
2000041023,3009543,Maps to,1970-01-01,2099-12-31,
2000041024,3004698,Maps to,1970-01-01,2099-12-31,
2000041025,3022797,Maps to,1970-01-01,2099-12-31,
2000041026,3028561,Maps to,1970-01-01,2099-12-31,
2000041027,3008449,Maps to,1970-01-01,2099-12-31,
2000041028,3018053,Maps to,1970-01-01,2099-12-31,
2000041029,3035359,Maps to,1970-01-01,2099-12-31,
2000041030,3015536,Maps to,1970-01-01,2099-12-31,
2000041031,3011589,Maps to,1970-01-01,2099-12-31,
2000041032,3011589,Maps to,1970-01-01,2099-12-31,
2000041033,21490662,Maps to,1970-01-01,2099-12-31,
2000041034,3027018,Maps to,1970-01-01,2099-12-31,
2000041035,3013078,Maps to,1970-01-01,2099-12-31,
2000041036,3013502,Maps to,1970-01-01,2099-12-31,
2000041037,3025809,Maps to,1970-01-01,2099-12-31,
2000041038,21490839,Maps to,1970-01-01,2099-12-31,
2000041039,3026258,Maps to,1970-01-01,2099-12-31,
2000041040,46237881,Maps to,1970-01-01,2099-12-31,
2000041041,3035359,Maps to,1970-01-01,2099-12-31,
2000041042,3027018,Maps to,1970-01-01,2099-12-31,
2000041043,37021110,Maps to,1970-01-01,2099-12-31,
2000041044,4098046,Maps to,1970-01-01,2099-12-31,
3027018,2000041001,Mapped from,1970-01-01,2099-12-31,
3007794,2000041002,Mapped from,1970-01-01,2099-12-31,
3006277,2000041003,Mapped from,1970-01-01,2099-12-31,
3022022,2000041004,Mapped from,1970-01-01,2099-12-31,
3025809,2000041005,Mapped from,1970-01-01,2099-12-31,
3026258,2000041006,Mapped from,1970-01-01,2099-12-31,
3009858,2000041007,Mapped from,1970-01-01,2099-12-31,
3025807,2000041008,Mapped from,1970-01-01,2099-12-31,
3036176,2000041009,Mapped from,1970-01-01,2099-12-31,
3037087,2000041010,Mapped from,1970-01-01,2099-12-31,
3017331,2000041011,Mapped from,1970-01-01,2099-12-31,
3003739,2000041012,Mapped from,1970-01-01,2099-12-31,
3027200,2000041013,Mapped from,1970-01-01,2099-12-31,
3012698,2000041014,Mapped from,1970-01-01,2099-12-31,
3004962,2000041015,Mapped from,1970-01-01,2099-12-31,
3017487,2000041016,Mapped from,1970-01-01,2099-12-31,
3014402,2000041017,Mapped from,1970-01-01,2099-12-31,
3024463,2000041018,Mapped from,1970-01-01,2099-12-31,
3024463,2000041019,Mapped from,1970-01-01,2099-12-31,
3019351,2000041020,Mapped from,1970-01-01,2099-12-31,
3026256,2000041021,Mapped from,1970-01-01,2099-12-31,
3001472,2000041022,Mapped from,1970-01-01,2099-12-31,
3009543,2000041023,Mapped from,1970-01-01,2099-12-31,
3004698,2000041024,Mapped from,1970-01-01,2099-12-31,
3022797,2000041025,Mapped from,1970-01-01,2099-12-31,
3028561,2000041026,Mapped from,1970-01-01,2099-12-31,
3008449,2000041027,Mapped from,1970-01-01,2099-12-31,
3018053,2000041028,Mapped from,1970-01-01,2099-12-31,
3035359,2000041029,Mapped from,1970-01-01,2099-12-31,
3015536,2000041030,Mapped from,1970-01-01,2099-12-31,
3011589,2000041031,Mapped from,1970-01-01,2099-12-31,
3011589,2000041032,Mapped from,1970-01-01,2099-12-31,
21490662,2000041033,Mapped from,1970-01-01,2099-12-31,
3027018,2000041034,Mapped from,1970-01-01,2099-12-31,
3013078,2000041035,Mapped from,1970-01-01,2099-12-31,
3013502,2000041036,Mapped from,1970-01-01,2099-12-31,
3025809,2000041037,Mapped from,1970-01-01,2099-12-31,
21490839,2000041038,Mapped from,1970-01-01,2099-12-31,
3026258,2000041039,Mapped from,1970-01-01,2099-12-31,
46237881,2000041040,Mapped from,1970-01-01,2099-12-31,
3035359,2000041041,Mapped from,1970-01-01,2099-12-31,
3027018,2000041042,Mapped from,1970-01-01,2099-12-31,
37021110,2000041043,Mapped from,1970-01-01,2099-12-31,
4098046,2000041044,Mapped from,1970-01-01,2099-12-31,
