concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000025001,PENICILLIN G,Measurement,mimiciv_micro_antibiotic,Lab Test,,90003,1970-01-01,2099-12-31,
2000025002,AMPICILLIN,Measurement,mimiciv_micro_antibiotic,Lab Test,,90004,1970-01-01,2099-12-31,
2000025003,CEFAZOLIN,Measurement,mimiciv_micro_antibiotic,Lab Test,,90005,1970-01-01,2099-12-31,
2000025004,ERYTHROMYCIN,Measurement,mimiciv_micro_antibiotic,Lab Test,,90006,1970-01-01,2099-12-31,
2000025005,CLINDAMYCIN,Measurement,mimiciv_micro_antibiotic,Lab Test,,90007,1970-01-01,2099-12-31,
2000025006,TRIMETHOPRIM/SULFA,Measurement,mimiciv_micro_antibiotic,Lab Test,,90008,1970-01-01,2099-12-31,
2000025007,CHLORAMPHENICOL,Measurement,mimiciv_micro_antibiotic,Lab Test,,90009,1970-01-01,2099-12-31,
2000025008,NITROFURANTOIN,Measurement,mimiciv_micro_antibiotic,Lab Test,,90010,1970-01-01,2099-12-31,
2000025009,TETRACYCLINE,Measurement,mimiciv_micro_antibiotic,Lab Test,,90011,1970-01-01,2099-12-31,
2000025010,GENTAMICIN,Measurement,mimiciv_micro_antibiotic,Lab Test,,90012,1970-01-01,2099-12-31,
2000025011,TOBRAMYCIN,Measurement,mimiciv_micro_antibiotic,Lab Test,,90013,1970-01-01,2099-12-31,
2000025012,AMIKACIN,Measurement,mimiciv_micro_antibiotic,Lab Test,,90014,1970-01-01,2099-12-31,
2000025013,VANCOMYCIN,Measurement,mimiciv_micro_antibiotic,Lab Test,,90015,1970-01-01,2099-12-31,
2000025014,OXACILLIN,Measurement,mimiciv_micro_antibiotic,Lab Test,,90016,1970-01-01,2099-12-31,
2000025015,CEFTAZIDIME,Measurement,mimiciv_micro_antibiotic,Lab Test,,90017,1970-01-01,2099-12-31,
2000025016,CEFTRIAXONE,Measurement,mimiciv_micro_antibiotic,Lab Test,,90018,1970-01-01,2099-12-31,
2000025017,CIPROFLOXACIN,Measurement,mimiciv_micro_antibiotic,Lab Test,,90019,1970-01-01,2099-12-31,
2000025018,IMIPENEM,Measurement,mimiciv_micro_antibiotic,Lab Test,,90020,1970-01-01,2099-12-31,
2000025019,PIPERACILLIN,Measurement,mimiciv_micro_antibiotic,Lab Test,,90021,1970-01-01,2099-12-31,
2000025020,AMPICILLIN/SULBACTAM,Measurement,mimiciv_micro_antibiotic,Lab Test,,90022,1970-01-01,2099-12-31,
2000025021,CEFUROXIME,Measurement,mimiciv_micro_antibiotic,Lab Test,,90023,1970-01-01,2099-12-31,
2000025022,CEFPODOXIME,Measurement,mimiciv_micro_antibiotic,Lab Test,,90024,1970-01-01,2099-12-31,
2000025023,LEVOFLOXACIN,Measurement,mimiciv_micro_antibiotic,Lab Test,,90025,1970-01-01,2099-12-31,
2000025024,PIPERACILLIN/TAZO,Measurement,mimiciv_micro_antibiotic,Lab Test,,90026,1970-01-01,2099-12-31,
2000025025,RIFAMPIN,Measurement,mimiciv_micro_antibiotic,Lab Test,,90027,1970-01-01,2099-12-31,
2000025026,CEFEPIME,Measurement,mimiciv_micro_antibiotic,Lab Test,,90028,1970-01-01,2099-12-31,
2000025027,MEROPENEM,Measurement,mimiciv_micro_antibiotic,Lab Test,,90029,1970-01-01,2099-12-31,
2000025028,DAPTOMYCIN,Measurement,mimiciv_micro_antibiotic,Lab Test,,90030,1970-01-01,2099-12-31,
2000025029,LINEZOLID,Measurement,mimiciv_micro_antibiotic,Lab Test,,90031,1970-01-01,2099-12-31,
