concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000025001,3023307,Maps to,1970-01-01,2099-12-31,
2000025002,3017595,Maps to,1970-01-01,2099-12-31,
2000025003,3004354,Maps to,1970-01-01,2099-12-31,
2000025004,3008308,Maps to,1970-01-01,2099-12-31,
2000025005,3005158,Maps to,1970-01-01,2099-12-31,
2000025006,3012222,Maps to,1970-01-01,2099-12-31,
2000025007,3024716,Maps to,1970-01-01,2099-12-31,
2000025008,3038047,Maps to,1970-01-01,2099-12-31,
2000025009,3002850,Maps to,1970-01-01,2099-12-31,
2000025010,3003105,Maps to,1970-01-01,2099-12-31,
2000025011,3022094,Maps to,1970-01-01,2099-12-31,
2000025012,3001950,Maps to,1970-01-01,2099-12-31,
2000025013,3008504,Maps to,1970-01-01,2099-12-31,
2000025014,3003906,Maps to,1970-01-01,2099-12-31,
2000025015,3038086,Maps to,1970-01-01,2099-12-31,
2000025016,3022747,Maps to,1970-01-01,2099-12-31,
2000025017,3020153,Maps to,1970-01-01,2099-12-31,
2000025018,3003793,Maps to,1970-01-01,2099-12-31,
2000025019,3021988,Maps to,1970-01-01,2099-12-31,
2000025020,3016573,Maps to,1970-01-01,2099-12-31,
2000025021,3018012,Maps to,1970-01-01,2099-12-31,
2000025022,3019476,Maps to,1970-01-01,2099-12-31,
2000025023,3015862,Maps to,1970-01-01,2099-12-31,
2000025024,3016242,Maps to,1970-01-01,2099-12-31,
2000025025,3037153,Maps to,1970-01-01,2099-12-31,
2000025026,3009314,Maps to,1970-01-01,2099-12-31,
2000025027,3006122,Maps to,1970-01-01,2099-12-31,
2000025028,3034593,Maps to,1970-01-01,2099-12-31,
2000025029,3000941,Maps to,1970-01-01,2099-12-31,
3023307,2000025001,Mapped from,1970-01-01,2099-12-31,
3017595,2000025002,Mapped from,1970-01-01,2099-12-31,
3004354,2000025003,Mapped from,1970-01-01,2099-12-31,
3008308,2000025004,Mapped from,1970-01-01,2099-12-31,
3005158,2000025005,Mapped from,1970-01-01,2099-12-31,
3012222,2000025006,Mapped from,1970-01-01,2099-12-31,
3024716,2000025007,Mapped from,1970-01-01,2099-12-31,
3038047,2000025008,Mapped from,1970-01-01,2099-12-31,
3002850,2000025009,Mapped from,1970-01-01,2099-12-31,
3003105,2000025010,Mapped from,1970-01-01,2099-12-31,
3022094,2000025011,Mapped from,1970-01-01,2099-12-31,
3001950,2000025012,Mapped from,1970-01-01,2099-12-31,
3008504,2000025013,Mapped from,1970-01-01,2099-12-31,
3003906,2000025014,Mapped from,1970-01-01,2099-12-31,
3038086,2000025015,Mapped from,1970-01-01,2099-12-31,
3022747,2000025016,Mapped from,1970-01-01,2099-12-31,
3020153,2000025017,Mapped from,1970-01-01,2099-12-31,
3003793,2000025018,Mapped from,1970-01-01,2099-12-31,
3021988,2000025019,Mapped from,1970-01-01,2099-12-31,
3016573,2000025020,Mapped from,1970-01-01,2099-12-31,
3018012,2000025021,Mapped from,1970-01-01,2099-12-31,
3019476,2000025022,Mapped from,1970-01-01,2099-12-31,
3015862,2000025023,Mapped from,1970-01-01,2099-12-31,
3016242,2000025024,Mapped from,1970-01-01,2099-12-31,
3037153,2000025025,Mapped from,1970-01-01,2099-12-31,
3009314,2000025026,Mapped from,1970-01-01,2099-12-31,
3006122,2000025027,Mapped from,1970-01-01,2099-12-31,
3034593,2000025028,Mapped from,1970-01-01,2099-12-31,
3000941,2000025029,Mapped from,1970-01-01,2099-12-31,
