concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000028001,TISSUE,Measurement,mimiciv_micro_microtest,Procedure,,70073,1970-01-01,2099-12-31,
2000028002,TISSUE,Measurement,mimiciv_micro_microtest,Procedure,,70076,1970-01-01,2099-12-31,
2000028003,MRSA SCREEN,Measurement,mimiciv_micro_microtest,Procedure,,70091,1970-01-01,2099-12-31,
2000028004,URINE CULTURE,Measurement,mimiciv_micro_microtest,Procedure,,90039,1970-01-01,2099-12-31,
2000028005,WOUND CULTURE,Measurement,mimiciv_micro_microtest,Procedure,,90046,1970-01-01,2099-12-31,
2000028006,RESPIRATORY CULTURE,Measurement,mimiciv_micro_microtest,Procedure,,90055,1970-01-01,2099-12-31,
2000028007,AEROBIC BOTTLE,Measurement,mimiciv_micro_microtest,Procedure,,90092,1970-01-01,2099-12-31,
2000028008,ANAEROBIC BOTTLE,Measurement,mimiciv_micro_microtest,Procedure,,90093,1970-01-01,2099-12-31,
2000028009,URINE CULTURE,Measurement,mimiciv_micro_microtest,Procedure,,90110,1970-01-01,2099-12-31,
2000028010,R/O VANCOMYCIN RESISTANT ENTEROCOCCUS,Measurement,mimiciv_micro_microtest,Procedure,,90115,1970-01-01,2099-12-31,
2000028011,ANAEROBIC BOTTLE,Measurement,mimiciv_micro_microtest,Procedure,,90117,1970-01-01,2099-12-31,
2000028012,AEROBIC BOTTLE,Measurement,mimiciv_micro_microtest,Procedure,,90139,1970-01-01,2099-12-31,
2000028013,ANAEROBIC BOTTLE,Measurement,mimiciv_micro_microtest,Procedure,,90149,1970-01-01,2099-12-31,
2000028014,FUNGAL CULTURE (HAIR/SKIN/NAILS),Measurement,mimiciv_micro_microtest,Procedure,,90178,1970-01-01,2099-12-31,
2000028015,YEAST VAGINITIS CULTURE,Measurement,mimiciv_micro_microtest,Procedure,,90186,1970-01-01,2099-12-31,
2000028016,MRSA SCREEN,Measurement,mimiciv_micro_microtest,Procedure,,90189,1970-01-01,2099-12-31,
2000028017,"Blood Culture, Routine",Measurement,mimiciv_micro_microtest,Procedure,,90201,1970-01-01,2099-12-31,
2000028018,"Blood Culture, Neonate",Measurement,mimiciv_micro_microtest,Procedure,,90202,1970-01-01,2099-12-31,
2000028019,C. difficile DNA amplification assay,Measurement,mimiciv_micro_microtest,Procedure,,90221,1970-01-01,2099-12-31,
2000028020,C. difficile Toxin antigen assay,Measurement,mimiciv_micro_microtest,Procedure,,90233,1970-01-01,2099-12-31,
2000028021,CAMPYLOBACTER CULTURE,Measurement,mimiciv_micro_microtest,Procedure,,90243,1970-01-01,2099-12-31,
2000028022,ANAEROBIC CULTURE,Measurement,mimiciv_micro_microtest,Procedure,,90245,1970-01-01,2099-12-31,
2000028023,OVA + PARASITES,Measurement,mimiciv_micro_microtest,Procedure,,90250,1970-01-01,2099-12-31,
2000028024,VIRAL CULTURE,Measurement,mimiciv_micro_microtest,Procedure,,90252,1970-01-01,2099-12-31,
2000028025,VIRAL CULTURE: R/O HERPES SIMPLEX VIRUS,Measurement,mimiciv_micro_microtest,Procedure,,90256,1970-01-01,2099-12-31,
2000028026,AEROBIC BOTTLE,Measurement,mimiciv_micro_microtest,Procedure,,90258,1970-01-01,2099-12-31,
2000028027,AEROBIC BOTTLE,Measurement,mimiciv_micro_microtest,Procedure,,90260,1970-01-01,2099-12-31,
2000028028,ANAEROBIC BOTTLE,Measurement,mimiciv_micro_microtest,Procedure,,90261,1970-01-01,2099-12-31,
2000028029,BLOOD/FUNGAL CULTURE,Measurement,mimiciv_micro_microtest,Procedure,,90265,1970-01-01,2099-12-31,
2000028030,FECAL CULTURE,Measurement,mimiciv_micro_microtest,Procedure,,90267,1970-01-01,2099-12-31,
2000028031,FLUID CULTURE,Measurement,mimiciv_micro_microtest,Procedure,,90268,1970-01-01,2099-12-31,
2000028032,FUNGAL CULTURE,Measurement,mimiciv_micro_microtest,Procedure,,90269,1970-01-01,2099-12-31,
2000028033,TISSUE,Measurement,mimiciv_micro_microtest,Procedure,,90272,1970-01-01,2099-12-31,
2000028034,VIRAL CULTURE,Measurement,mimiciv_micro_microtest,Procedure,,90935,1970-01-01,2099-12-31,
