concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000028001,4300293,Maps to,1970-01-01,2099-12-31,
2000028002,4300293,Maps to,1970-01-01,2099-12-31,
2000028003,4296650,Maps to,1970-01-01,2099-12-31,
2000028004,4024509,Maps to,1970-01-01,2099-12-31,
2000028005,4189544,Maps to,1970-01-01,2099-12-31,
2000028006,4035228,Maps to,1970-01-01,2099-12-31,
2000028007,4035113,Maps to,1970-01-01,2099-12-31,
2000028008,4036044,Maps to,1970-01-01,2099-12-31,
2000028009,4024509,Maps to,1970-01-01,2099-12-31,
2000028010,4304958,Maps to,1970-01-01,2099-12-31,
2000028011,4036044,Maps to,1970-01-01,2099-12-31,
2000028012,4035113,Maps to,1970-01-01,2099-12-31,
2000028013,4036044,Maps to,1970-01-01,2099-12-31,
2000028014,4165398,Maps to,1970-01-01,2099-12-31,
2000028015,4046245,Maps to,1970-01-01,2099-12-31,
2000028016,4296650,Maps to,1970-01-01,2099-12-31,
2000028017,4107893,Maps to,1970-01-01,2099-12-31,
2000028018,4107893,Maps to,1970-01-01,2099-12-31,
2000028019,4247906,Maps to,1970-01-01,2099-12-31,
2000028020,4327663,Maps to,1970-01-01,2099-12-31,
2000028021,4045656,Maps to,1970-01-01,2099-12-31,
2000028022,4036044,Maps to,1970-01-01,2099-12-31,
2000028023,4304804,Maps to,1970-01-01,2099-12-31,
2000028024,4130349,Maps to,1970-01-01,2099-12-31,
2000028025,4047154,Maps to,1970-01-01,2099-12-31,
2000028026,4035113,Maps to,1970-01-01,2099-12-31,
2000028027,4035113,Maps to,1970-01-01,2099-12-31,
2000028028,4036044,Maps to,1970-01-01,2099-12-31,
2000028029,4165398,Maps to,1970-01-01,2099-12-31,
2000028030,4024963,Maps to,1970-01-01,2099-12-31,
2000028031,4024510,Maps to,1970-01-01,2099-12-31,
2000028032,4165398,Maps to,1970-01-01,2099-12-31,
2000028033,4300293,Maps to,1970-01-01,2099-12-31,
2000028034,4130349,Maps to,1970-01-01,2099-12-31,
4300293,2000028001,Mapped from,1970-01-01,2099-12-31,
4300293,2000028002,Mapped from,1970-01-01,2099-12-31,
4296650,2000028003,Mapped from,1970-01-01,2099-12-31,
4024509,2000028004,Mapped from,1970-01-01,2099-12-31,
4189544,2000028005,Mapped from,1970-01-01,2099-12-31,
4035228,2000028006,Mapped from,1970-01-01,2099-12-31,
4035113,2000028007,Mapped from,1970-01-01,2099-12-31,
4036044,2000028008,Mapped from,1970-01-01,2099-12-31,
4024509,2000028009,Mapped from,1970-01-01,2099-12-31,
4304958,2000028010,Mapped from,1970-01-01,2099-12-31,
4036044,2000028011,Mapped from,1970-01-01,2099-12-31,
4035113,2000028012,Mapped from,1970-01-01,2099-12-31,
4036044,2000028013,Mapped from,1970-01-01,2099-12-31,
4165398,2000028014,Mapped from,1970-01-01,2099-12-31,
4046245,2000028015,Mapped from,1970-01-01,2099-12-31,
4296650,2000028016,Mapped from,1970-01-01,2099-12-31,
4107893,2000028017,Mapped from,1970-01-01,2099-12-31,
4107893,2000028018,Mapped from,1970-01-01,2099-12-31,
4247906,2000028019,Mapped from,1970-01-01,2099-12-31,
4327663,2000028020,Mapped from,1970-01-01,2099-12-31,
4045656,2000028021,Mapped from,1970-01-01,2099-12-31,
4036044,2000028022,Mapped from,1970-01-01,2099-12-31,
4304804,2000028023,Mapped from,1970-01-01,2099-12-31,
4130349,2000028024,Mapped from,1970-01-01,2099-12-31,
4047154,2000028025,Mapped from,1970-01-01,2099-12-31,
4035113,2000028026,Mapped from,1970-01-01,2099-12-31,
4035113,2000028027,Mapped from,1970-01-01,2099-12-31,
4036044,2000028028,Mapped from,1970-01-01,2099-12-31,
4165398,2000028029,Mapped from,1970-01-01,2099-12-31,
4024963,2000028030,Mapped from,1970-01-01,2099-12-31,
4024510,2000028031,Mapped from,1970-01-01,2099-12-31,
4165398,2000028032,Mapped from,1970-01-01,2099-12-31,
4300293,2000028033,Mapped from,1970-01-01,2099-12-31,
4130349,2000028034,Mapped from,1970-01-01,2099-12-31,
