concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000026001,ESCHERICHIA COLI,Observation,mimiciv_micro_organism,Organism,,80002,1970-01-01,2099-12-31,
2000026002,GRAM NEGATIVE COCCI,Observation,mimiciv_micro_organism,Organism,,80003,1970-01-01,2099-12-31,
2000026003,KLEBSIELLA PNEUMONIAE,Observation,mimiciv_micro_organism,Organism,,80004,1970-01-01,2099-12-31,
2000026004,KLEBSIELLA OXYTOCA,Observation,mimiciv_micro_organism,Organism,,80005,1970-01-01,2099-12-31,
2000026005,KLEBSIELLA OZAENAE,Observation,mimiciv_micro_organism,Organism,,80006,1970-01-01,2099-12-31,
2000026006,ENTEROBACTER AEROGENES,Observation,mimiciv_micro_organism,Organism,,80007,1970-01-01,2099-12-31,
2000026007,ENTEROBACTER CLOACAE,Observation,mimiciv_micro_organism,Organism,,80008,1970-01-01,2099-12-31,
2000026008,HAFNIA ALVEI,Observation,mimiciv_micro_organism,Organism,,80009,1970-01-01,2099-12-31,
2000026009,ENTEROBACTER AGGLOMERANS,Observation,mimiciv_micro_organism,Organism,,80010,1970-01-01,2099-12-31,
2000026010,ENTEROBACTER GERGOVIAE,Observation,mimiciv_micro_organism,Organism,,80011,1970-01-01,2099-12-31,
2000026011,CRONOBACTER (ENTEROBACTER) SAKAZAKII,Observation,mimiciv_micro_organism,Organism,,80012,1970-01-01,2099-12-31,
2000026012,SERRATIA LIQUEFACIENS,Observation,mimiciv_micro_organism,Organism,,80013,1970-01-01,2099-12-31,
2000026013,SERRATIA MARCESCENS,Observation,mimiciv_micro_organism,Organism,,80014,1970-01-01,2099-12-31,
2000026014,SERRATIA RUBIDAEA,Observation,mimiciv_micro_organism,Organism,,80015,1970-01-01,2099-12-31,
2000026015,PROTEUS VULGARIS,Observation,mimiciv_micro_organism,Organism,,80016,1970-01-01,2099-12-31,
2000026016,PROTEUS MIRABILIS,Observation,mimiciv_micro_organism,Organism,,80017,1970-01-01,2099-12-31,
2000026017,MORGANELLA MORGANII,Observation,mimiciv_micro_organism,Organism,,80018,1970-01-01,2099-12-31,
2000026018,PROVIDENCIA STUARTII,Observation,mimiciv_micro_organism,Organism,,80019,1970-01-01,2099-12-31,
2000026019,PROVIDENCIA RETTGERI,Observation,mimiciv_micro_organism,Organism,,80020,1970-01-01,2099-12-31,
2000026020,SHIGELLA FLEXNERI,Observation,mimiciv_micro_organism,Organism,,80021,1970-01-01,2099-12-31,
2000026021,SALMONELLA ENTERITIDIS,Observation,mimiciv_micro_organism,Organism,,80022,1970-01-01,2099-12-31,
2000026022,STAPH AUREUS COAG +,Observation,mimiciv_micro_organism,Organism,,80023,1970-01-01,2099-12-31,
2000026023,STAPHYLOCOCCUS EPIDERMIDIS,Observation,mimiciv_micro_organism,Organism,,80024,1970-01-01,2099-12-31,
2000026024,CITROBACTER AMALONATICUS,Observation,mimiciv_micro_organism,Organism,,80025,1970-01-01,2099-12-31,
2000026025,PSEUDOMONAS AERUGINOSA,Observation,mimiciv_micro_organism,Organism,,80026,1970-01-01,2099-12-31,
2000026026,PSEUDOMONAS SPECIES,Observation,mimiciv_micro_organism,Organism,,80029,1970-01-01,2099-12-31,
2000026027,BORDETELLA BRONCHISEPTICA,Observation,mimiciv_micro_organism,Organism,,80030,1970-01-01,2099-12-31,
2000026028,MORAXELLA SPECIES,Observation,mimiciv_micro_organism,Organism,,80031,1970-01-01,2099-12-31,
2000026029,AEROMONAS HYDROPHILA,Observation,mimiciv_micro_organism,Organism,,80032,1970-01-01,2099-12-31,
2000026030,VIBRIO SPECIES,Observation,mimiciv_micro_organism,Organism,,80033,1970-01-01,2099-12-31,
2000026031,PASTEURELLA MULTOCIDA,Observation,mimiciv_micro_organism,Organism,,80034,1970-01-01,2099-12-31,
2000026032,EIKENELLA CORRODENS,Observation,mimiciv_micro_organism,Organism,,80035,1970-01-01,2099-12-31,
2000026033,ANAEROBIC GRAM NEGATIVE ROD(S),Observation,mimiciv_micro_organism,Organism,,80036,1970-01-01,2099-12-31,
2000026034,GRAM VARIABLE RODS,Observation,mimiciv_micro_organism,Organism,,80037,1970-01-01,2099-12-31,
2000026035,CLOSTRIDIUM PERFRINGENS,Observation,mimiciv_micro_organism,Organism,,80038,1970-01-01,2099-12-31,
2000026036,CLOSTRIDIUM SPECIES,Observation,mimiciv_micro_organism,Organism,,80039,1970-01-01,2099-12-31,
2000026037,NEISSERIA GONORRHOEAE,Observation,mimiciv_micro_organism,Organism,,80040,1970-01-01,2099-12-31,
2000026038,NEISSERIA MENINGITIDIS,Observation,mimiciv_micro_organism,Organism,,80041,1970-01-01,2099-12-31,
2000026039,NEISSERIA SPECIES,Observation,mimiciv_micro_organism,Organism,,80042,1970-01-01,2099-12-31,
2000026040,HAEMOPHILUS PARAINFLUENZAE,Observation,mimiciv_micro_organism,Organism,,80043,1970-01-01,2099-12-31,
2000026041,HAEMOPHILUS SP,Observation,mimiciv_micro_organism,Organism,,80044,1970-01-01,2099-12-31,
2000026042,BETA STREPTOCOCCUS GROUP B,Observation,mimiciv_micro_organism,Organism,,80045,1970-01-01,2099-12-31,
2000026043,BETA STREPTOCOCCUS GROUP C,Observation,mimiciv_micro_organism,Organism,,80046,1970-01-01,2099-12-31,
2000026044,BETA STREPTOCOCCUS GROUP G,Observation,mimiciv_micro_organism,Organism,,80047,1970-01-01,2099-12-31,
2000026045,BETA STREPTOCOCCUS,Observation,mimiciv_micro_organism,Organism,,80048,1970-01-01,2099-12-31,
2000026046,STREPTOCOCCUS MITIS,Observation,mimiciv_micro_organism,Organism,,80049,1970-01-01,2099-12-31,
2000026047,STREPTOCOCCUS SANGUIS,Observation,mimiciv_micro_organism,Organism,,80051,1970-01-01,2099-12-31,
2000026048,ALPHA STREPTOCOCCI,Observation,mimiciv_micro_organism,Organism,,80052,1970-01-01,2099-12-31,
2000026049,ENTEROCOCCUS SP.,Observation,mimiciv_micro_organism,Organism,,80053,1970-01-01,2099-12-31,
2000026050,BETA STREPTOCOCCUS GROUP A,Observation,mimiciv_micro_organism,Organism,,80054,1970-01-01,2099-12-31,
2000026051,GRAM POSITIVE COCCUS(COCCI),Observation,mimiciv_micro_organism,Organism,,80055,1970-01-01,2099-12-31,
2000026052,GRAM POSITIVE RODS,Observation,mimiciv_micro_organism,Organism,,80056,1970-01-01,2099-12-31,
2000026053,GRAM NEGATIVE DIPLOCOCCI,Observation,mimiciv_micro_organism,Organism,,80057,1970-01-01,2099-12-31,
2000026054,GRAM NEGATIVE ROD(S),Observation,mimiciv_micro_organism,Organism,,80058,1970-01-01,2099-12-31,
2000026055,CANDIDA SPECIES,Observation,mimiciv_micro_organism,Organism,,80059,1970-01-01,2099-12-31,
2000026056,CANDIDA ALBICANS,Observation,mimiciv_micro_organism,Organism,,80060,1970-01-01,2099-12-31,
2000026057,RHODOTORULA SPECIES,Observation,mimiciv_micro_organism,Organism,,80061,1970-01-01,2099-12-31,
2000026058,ASPERGILLUS NIGER,Observation,mimiciv_micro_organism,Organism,,80062,1970-01-01,2099-12-31,
2000026059,ASPERGILLUS SPECIES,Observation,mimiciv_micro_organism,Organism,,80063,1970-01-01,2099-12-31,
2000026060,PENICILLIUM SPECIES,Observation,mimiciv_micro_organism,Organism,,80064,1970-01-01,2099-12-31,
2000026061,CRYPTOCOCCUS NEOFORMANS,Observation,mimiciv_micro_organism,Organism,,80065,1970-01-01,2099-12-31,
2000026062,ASPERGILLUS FUMIGATUS,Observation,mimiciv_micro_organism,Organism,,80066,1970-01-01,2099-12-31,
2000026063,NOCARDIA ASTEROIDES,Observation,mimiciv_micro_organism,Organism,,80067,1970-01-01,2099-12-31,
2000026064,NOCARDIA SPECIES,Observation,mimiciv_micro_organism,Organism,,80068,1970-01-01,2099-12-31,
