concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000026001,4011683,Maps to,1970-01-01,2099-12-31,
2000026002,4081940,Maps to,1970-01-01,2099-12-31,
2000026003,4209452,Maps to,1970-01-01,2099-12-31,
2000026004,4254213,Maps to,1970-01-01,2099-12-31,
2000026005,4275741,Maps to,1970-01-01,2099-12-31,
2000026006,4267438,Maps to,1970-01-01,2099-12-31,
2000026007,4030716,Maps to,1970-01-01,2099-12-31,
2000026008,4295899,Maps to,1970-01-01,2099-12-31,
2000026009,4018788,Maps to,1970-01-01,2099-12-31,
2000026010,37396510,Maps to,1970-01-01,2099-12-31,
2000026011,40484223,Maps to,1970-01-01,2099-12-31,
2000026012,4028952,Maps to,1970-01-01,2099-12-31,
2000026013,4140691,Maps to,1970-01-01,2099-12-31,
2000026014,4183695,Maps to,1970-01-01,2099-12-31,
2000026015,4164566,Maps to,1970-01-01,2099-12-31,
2000026016,4248426,Maps to,1970-01-01,2099-12-31,
2000026017,4348164,Maps to,1970-01-01,2099-12-31,
2000026018,4031192,Maps to,1970-01-01,2099-12-31,
2000026019,4030558,Maps to,1970-01-01,2099-12-31,
2000026020,4311807,Maps to,1970-01-01,2099-12-31,
2000026021,4249155,Maps to,1970-01-01,2099-12-31,
2000026022,4149419,Maps to,1970-01-01,2099-12-31,
2000026023,4246180,Maps to,1970-01-01,2099-12-31,
2000026024,4205585,Maps to,1970-01-01,2099-12-31,
2000026025,4198675,Maps to,1970-01-01,2099-12-31,
2000026026,4211547,Maps to,1970-01-01,2099-12-31,
2000026027,4024720,Maps to,1970-01-01,2099-12-31,
2000026028,4263926,Maps to,1970-01-01,2099-12-31,
2000026029,4312105,Maps to,1970-01-01,2099-12-31,
2000026030,4146528,Maps to,1970-01-01,2099-12-31,
2000026031,4032583,Maps to,1970-01-01,2099-12-31,
2000026032,4200857,Maps to,1970-01-01,2099-12-31,
2000026033,4019394,Maps to,1970-01-01,2099-12-31,
2000026034,4348425,Maps to,1970-01-01,2099-12-31,
2000026035,4307974,Maps to,1970-01-01,2099-12-31,
2000026036,4218244,Maps to,1970-01-01,2099-12-31,
2000026037,4285582,Maps to,1970-01-01,2099-12-31,
2000026038,4076436,Maps to,1970-01-01,2099-12-31,
2000026039,4244123,Maps to,1970-01-01,2099-12-31,
2000026040,4197565,Maps to,1970-01-01,2099-12-31,
2000026041,4323572,Maps to,1970-01-01,2099-12-31,
2000026042,4183468,Maps to,1970-01-01,2099-12-31,
2000026043,4229618,Maps to,1970-01-01,2099-12-31,
2000026044,4326764,Maps to,1970-01-01,2099-12-31,
2000026045,4200707,Maps to,1970-01-01,2099-12-31,
2000026046,4237427,Maps to,1970-01-01,2099-12-31,
2000026047,4015549,Maps to,1970-01-01,2099-12-31,
2000026048,4246064,Maps to,1970-01-01,2099-12-31,
2000026049,4101235,Maps to,1970-01-01,2099-12-31,
2000026050,4187877,Maps to,1970-01-01,2099-12-31,
2000026051,4241096,Maps to,1970-01-01,2099-12-31,
2000026052,4306758,Maps to,1970-01-01,2099-12-31,
2000026053,4308411,Maps to,1970-01-01,2099-12-31,
2000026054,4336840,Maps to,1970-01-01,2099-12-31,
2000026055,4139129,Maps to,1970-01-01,2099-12-31,
2000026056,4200556,Maps to,1970-01-01,2099-12-31,
2000026057,4198407,Maps to,1970-01-01,2099-12-31,
2000026058,4231112,Maps to,1970-01-01,2099-12-31,
2000026059,4085138,Maps to,1970-01-01,2099-12-31,
2000026060,4180730,Maps to,1970-01-01,2099-12-31,
2000026061,4284105,Maps to,1970-01-01,2099-12-31,
2000026062,4139597,Maps to,1970-01-01,2099-12-31,
2000026063,4146906,Maps to,1970-01-01,2099-12-31,
2000026064,4245771,Maps to,1970-01-01,2099-12-31,
2000026065,4034215,Maps to,1970-01-01,2099-12-31,
2000026066,4336840,Maps to,1970-01-01,2099-12-31,
2000026067,4336840,Maps to,1970-01-01,2099-12-31,
2000026068,4336840,Maps to,1970-01-01,2099-12-31,
2000026069,4336840,Maps to,1970-01-01,2099-12-31,
2000026070,4019394,Maps to,1970-01-01,2099-12-31,
2000026071,4265186,Maps to,1970-01-01,2099-12-31,
2000026072,4321152,Maps to,1970-01-01,2099-12-31,
2000026073,4069831,Maps to,1970-01-01,2099-12-31,
2000026074,4352648,Maps to,1970-01-01,2099-12-31,
2000026075,4348176,Maps to,1970-01-01,2099-12-31,
2000026076,4165747,Maps to,1970-01-01,2099-12-31,
2000026077,4337977,Maps to,1970-01-01,2099-12-31,
2000026078,4259140,Maps to,1970-01-01,2099-12-31,
2000026079,4052086,Maps to,1970-01-01,2099-12-31,
2000026080,4196666,Maps to,1970-01-01,2099-12-31,
2000026081,4299363,Maps to,1970-01-01,2099-12-31,
2000026082,4348172,Maps to,1970-01-01,2099-12-31,
2000026083,4034125,Maps to,1970-01-01,2099-12-31,
2000026084,4185121,Maps to,1970-01-01,2099-12-31,
2000026085,4329864,Maps to,1970-01-01,2099-12-31,
2000026086,4170580,Maps to,1970-01-01,2099-12-31,
2000026087,4261846,Maps to,1970-01-01,2099-12-31,
2000026088,4303232,Maps to,1970-01-01,2099-12-31,
2000026089,4088746,Maps to,1970-01-01,2099-12-31,
2000026090,4327473,Maps to,1970-01-01,2099-12-31,
2000026091,4352641,Maps to,1970-01-01,2099-12-31,
2000026092,4186446,Maps to,1970-01-01,2099-12-31,
2000026093,4011684,Maps to,1970-01-01,2099-12-31,
2000026094,4295448,Maps to,1970-01-01,2099-12-31,
2000026095,4247544,Maps to,1970-01-01,2099-12-31,
2000026096,4040988,Maps to,1970-01-01,2099-12-31,
2000026097,4297441,Maps to,1970-01-01,2099-12-31,
2000026098,4240960,Maps to,1970-01-01,2099-12-31,
2000026099,4348452,Maps to,1970-01-01,2099-12-31,
2000026100,4087087,Maps to,1970-01-01,2099-12-31,
2000026101,4069707,Maps to,1970-01-01,2099-12-31,
2000026102,4172927,Maps to,1970-01-01,2099-12-31,
2000026103,4261232,Maps to,1970-01-01,2099-12-31,
2000026104,4214681,Maps to,1970-01-01,2099-12-31,
2000026105,4136507,Maps to,1970-01-01,2099-12-31,
2000026106,4172434,Maps to,1970-01-01,2099-12-31,
2000026107,4338685,Maps to,1970-01-01,2099-12-31,
2000026108,4213634,Maps to,1970-01-01,2099-12-31,
2000026109,4242438,Maps to,1970-01-01,2099-12-31,
2000026110,4281672,Maps to,1970-01-01,2099-12-31,
2000026111,4144074,Maps to,1970-01-01,2099-12-31,
2000026112,4148080,Maps to,1970-01-01,2099-12-31,
2000026113,4307325,Maps to,1970-01-01,2099-12-31,
2000026114,4220801,Maps to,1970-01-01,2099-12-31,
2000026115,4212342,Maps to,1970-01-01,2099-12-31,
2000026116,4294519,Maps to,1970-01-01,2099-12-31,
2000026117,4208525,Maps to,1970-01-01,2099-12-31,
2000026118,4266088,Maps to,1970-01-01,2099-12-31,
2000026119,4241214,Maps to,1970-01-01,2099-12-31,
2000026120,4143777,Maps to,1970-01-01,2099-12-31,
2000026121,4135700,Maps to,1970-01-01,2099-12-31,
2000026122,4139265,Maps to,1970-01-01,2099-12-31,
2000026123,4141421,Maps to,1970-01-01,2099-12-31,
2000026124,4086077,Maps to,1970-01-01,2099-12-31,
2000026125,4170861,Maps to,1970-01-01,2099-12-31,
2000026126,4195441,Maps to,1970-01-01,2099-12-31,
2000026127,4301615,Maps to,1970-01-01,2099-12-31,
2000026128,4180863,Maps to,1970-01-01,2099-12-31,
2000026129,4077731,Maps to,1970-01-01,2099-12-31,
2000026130,4025113,Maps to,1970-01-01,2099-12-31,
2000026131,4171042,Maps to,1970-01-01,2099-12-31,
2000026132,4278981,Maps to,1970-01-01,2099-12-31,
2000026133,4244400,Maps to,1970-01-01,2099-12-31,
2000026134,4103712,Maps to,1970-01-01,2099-12-31,
2000026135,4269491,Maps to,1970-01-01,2099-12-31,
2000026136,4099615,Maps to,1970-01-01,2099-12-31,
2000026137,4035979,Maps to,1970-01-01,2099-12-31,
2000026138,4030223,Maps to,1970-01-01,2099-12-31,
2000026139,4172988,Maps to,1970-01-01,2099-12-31,
2000026140,4274488,Maps to,1970-01-01,2099-12-31,
2000026141,4093927,Maps to,1970-01-01,2099-12-31,
2000026142,4308448,Maps to,1970-01-01,2099-12-31,
2000026143,4016448,Maps to,1970-01-01,2099-12-31,
2000026144,4219241,Maps to,1970-01-01,2099-12-31,
2000026145,4216542,Maps to,1970-01-01,2099-12-31,
2000026146,4312459,Maps to,1970-01-01,2099-12-31,
2000026147,4020318,Maps to,1970-01-01,2099-12-31,
2000026148,4274350,Maps to,1970-01-01,2099-12-31,
2000026149,4274504,Maps to,1970-01-01,2099-12-31,
2000026150,4237898,Maps to,1970-01-01,2099-12-31,
2000026151,4035081,Maps to,1970-01-01,2099-12-31,
2000026152,4014324,Maps to,1970-01-01,2099-12-31,
2000026153,4224654,Maps to,1970-01-01,2099-12-31,
2000026154,4140527,Maps to,1970-01-01,2099-12-31,
2000026155,4228685,Maps to,1970-01-01,2099-12-31,
2000026156,4007682,Maps to,1970-01-01,2099-12-31,
2000026157,4217696,Maps to,1970-01-01,2099-12-31,
2000026158,4234555,Maps to,1970-01-01,2099-12-31,
2000026159,4323293,Maps to,1970-01-01,2099-12-31,
2000026160,4183602,Maps to,1970-01-01,2099-12-31,
2000026161,4185892,Maps to,1970-01-01,2099-12-31,
2000026162,4302157,Maps to,1970-01-01,2099-12-31,
2000026163,4107221,Maps to,1970-01-01,2099-12-31,
2000026164,4181422,Maps to,1970-01-01,2099-12-31,
2000026165,4177956,Maps to,1970-01-01,2099-12-31,
2000026166,4025840,Maps to,1970-01-01,2099-12-31,
2000026167,4274000,Maps to,1970-01-01,2099-12-31,
2000026168,4236145,Maps to,1970-01-01,2099-12-31,
2000026169,4231384,Maps to,1970-01-01,2099-12-31,
2000026170,4253151,Maps to,1970-01-01,2099-12-31,
2000026171,4231389,Maps to,1970-01-01,2099-12-31,
2000026172,4023746,Maps to,1970-01-01,2099-12-31,
2000026173,4180694,Maps to,1970-01-01,2099-12-31,
2000026174,4282778,Maps to,1970-01-01,2099-12-31,
2000026175,4348312,Maps to,1970-01-01,2099-12-31,
2000026176,4269076,Maps to,1970-01-01,2099-12-31,
2000026177,4195939,Maps to,1970-01-01,2099-12-31,
2000026178,4195939,Maps to,1970-01-01,2099-12-31,
2000026179,4012163,Maps to,1970-01-01,2099-12-31,
2000026180,4235587,Maps to,1970-01-01,2099-12-31,
2000026181,4229267,Maps to,1970-01-01,2099-12-31,
2000026182,4099188,Maps to,1970-01-01,2099-12-31,
2000026183,4017113,Maps to,1970-01-01,2099-12-31,
2000026184,4195939,Maps to,1970-01-01,2099-12-31,
2000026185,4106082,Maps to,1970-01-01,2099-12-31,
2000026186,4009137,Maps to,1970-01-01,2099-12-31,
2000026187,4016448,Maps to,1970-01-01,2099-12-31,
2000026188,4188054,Maps to,1970-01-01,2099-12-31,
2000026189,4149104,Maps to,1970-01-01,2099-12-31,
2000026190,42872611,Maps to,1970-01-01,2099-12-31,
2000026191,4085000,Maps to,1970-01-01,2099-12-31,
2000026192,4240344,Maps to,1970-01-01,2099-12-31,
2000026193,4034635,Maps to,1970-01-01,2099-12-31,
2000026194,4329152,Maps to,1970-01-01,2099-12-31,
2000026195,4265339,Maps to,1970-01-01,2099-12-31,
2000026196,4013782,Maps to,1970-01-01,2099-12-31,
2000026197,37018741,Maps to,1970-01-01,2099-12-31,
2000026198,4015251,Maps to,1970-01-01,2099-12-31,
2000026199,4243975,Maps to,1970-01-01,2099-12-31,
2000026200,4300777,Maps to,1970-01-01,2099-12-31,
