concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000025501,THROAT FOR STREP,Specimen,mimiciv_micro_specimen,Specimen,,70002,1970-01-01,2099-12-31,
2000025502,ABSCESS,Specimen,mimiciv_micro_specimen,Specimen,,70003,1970-01-01,2099-12-31,
2000025503,ASPIRATE,Specimen,mimiciv_micro_specimen,Specimen,,70005,1970-01-01,2099-12-31,
2000025504,ANORECTAL/VAGINAL CULTURE,Specimen,mimiciv_micro_specimen,Specimen,,70006,1970-01-01,2099-12-31,
2000025505,BLOOD BAG FLUID,Specimen,mimiciv_micro_specimen,Specimen,,70007,1970-01-01,2099-12-31,
2000025506,BRONCHIAL BRUSH - PROTECTED,Specimen,mimiciv_micro_specimen,Specimen,,70008,1970-01-01,2099-12-31,
2000025507,BILE,Specimen,mimiciv_micro_specimen,Specimen,,70009,1970-01-01,2099-12-31,
2000025508,BIOPSY,Specimen,mimiciv_micro_specimen,Specimen,,70010,1970-01-01,2099-12-31,
2000025509,BLOOD CULTURE ( MYCO/F LYTIC BOTTLE),Specimen,mimiciv_micro_specimen,Specimen,,70011,1970-01-01,2099-12-31,
2000025510,BLOOD CULTURE,Specimen,mimiciv_micro_specimen,Specimen,,70012,1970-01-01,2099-12-31,
2000025511,FLUID RECEIVED IN BLOOD CULTURE BOTTLES,Specimen,mimiciv_micro_specimen,Specimen,,70013,1970-01-01,2099-12-31,
2000025512,BLOOD CULTURE - NEONATE,Specimen,mimiciv_micro_specimen,Specimen,,70014,1970-01-01,2099-12-31,
2000025513,BLOOD,Specimen,mimiciv_micro_specimen,Specimen,,70015,1970-01-01,2099-12-31,
2000025514,BLOOD CULTURE (POST-MORTEM),Specimen,mimiciv_micro_specimen,Specimen,,70016,1970-01-01,2099-12-31,
2000025515,SEROLOGY/BLOOD,Specimen,mimiciv_micro_specimen,Specimen,,70017,1970-01-01,2099-12-31,
2000025516,BONE MARROW,Specimen,mimiciv_micro_specimen,Specimen,,70018,1970-01-01,2099-12-31,
2000025517,BONE MARROW - CYTOGENETICS,Specimen,mimiciv_micro_specimen,Specimen,,70019,1970-01-01,2099-12-31,
2000025518,BRONCHIAL BRUSH,Specimen,mimiciv_micro_specimen,Specimen,,70020,1970-01-01,2099-12-31,
2000025519,BRONCHOALVEOLAR LAVAGE,Specimen,mimiciv_micro_specimen,Specimen,,70021,1970-01-01,2099-12-31,
2000025520,BRONCHIAL WASHINGS,Specimen,mimiciv_micro_specimen,Specimen,,70022,1970-01-01,2099-12-31,
2000025521,CATHETER OR LINE,Specimen,mimiciv_micro_specimen,Specimen,,70023,1970-01-01,2099-12-31,
2000025522,CSF;SPINAL FLUID,Specimen,mimiciv_micro_specimen,Specimen,,70026,1970-01-01,2099-12-31,
2000025523,CORNEAL EYE SCRAPINGS,Specimen,mimiciv_micro_specimen,Specimen,,70027,1970-01-01,2099-12-31,
2000025524,DIALYSIS FLUID,Specimen,mimiciv_micro_specimen,Specimen,,70029,1970-01-01,2099-12-31,
2000025525,EAR,Specimen,mimiciv_micro_specimen,Specimen,,70031,1970-01-01,2099-12-31,
2000025526,Blood (EBV),Specimen,mimiciv_micro_specimen,Specimen,,70032,1970-01-01,2099-12-31,
2000025527,EYE,Specimen,mimiciv_micro_specimen,Specimen,,70033,1970-01-01,2099-12-31,
2000025528,FOREIGN BODY,Specimen,mimiciv_micro_specimen,Specimen,,70034,1970-01-01,2099-12-31,
2000025529,"FLUID,OTHER",Specimen,mimiciv_micro_specimen,Specimen,,70035,1970-01-01,2099-12-31,
2000025530,FLUID WOUND,Specimen,mimiciv_micro_specimen,Specimen,,70036,1970-01-01,2099-12-31,
2000025531,FOOT CULTURE,Specimen,mimiciv_micro_specimen,Specimen,,70037,1970-01-01,2099-12-31,
2000025532,FECAL SWAB,Specimen,mimiciv_micro_specimen,Specimen,,70038,1970-01-01,2099-12-31,
2000025533,GASTRIC ASPIRATE,Specimen,mimiciv_micro_specimen,Specimen,,70039,1970-01-01,2099-12-31,
2000025534,SWAB,Specimen,mimiciv_micro_specimen,Specimen,,70040,1970-01-01,2099-12-31,
2000025535,Influenza A/B by DFA - Bronch Wash,Specimen,mimiciv_micro_specimen,Specimen,,70044,1970-01-01,2099-12-31,
2000025536,JOINT FLUID,Specimen,mimiciv_micro_specimen,Specimen,,70047,1970-01-01,2099-12-31,
2000025537,NAIL SCRAPINGS,Specimen,mimiciv_micro_specimen,Specimen,,70048,1970-01-01,2099-12-31,
2000025538,NEOPLASTIC BLOOD,Specimen,mimiciv_micro_specimen,Specimen,,70049,1970-01-01,2099-12-31,
2000025539,NOSE,Specimen,mimiciv_micro_specimen,Specimen,,70050,1970-01-01,2099-12-31,
2000025540,"FLUID,OTHER",Specimen,mimiciv_micro_specimen,Specimen,,70051,1970-01-01,2099-12-31,
2000025541,PERIPHERAL BLOOD LYMPHOCYTES,Specimen,mimiciv_micro_specimen,Specimen,,70052,1970-01-01,2099-12-31,
2000025542,PERITONEAL FLUID,Specimen,mimiciv_micro_specimen,Specimen,,70053,1970-01-01,2099-12-31,
2000025543,PLEURAL FLUID,Specimen,mimiciv_micro_specimen,Specimen,,70054,1970-01-01,2099-12-31,
2000025544,Rapid Respiratory Viral Screen & Culture,Specimen,mimiciv_micro_specimen,Specimen,,70057,1970-01-01,2099-12-31,
2000025545,Staph aureus Screen,Procedure,mimiciv_micro_specimen,Procedure,,70059,1970-01-01,2099-12-31,
2000025546,Stem Cell - Blood Culture,Specimen,mimiciv_micro_specimen,Specimen,,70060,1970-01-01,2099-12-31,
2000025547,SKIN SCRAPINGS,Specimen,mimiciv_micro_specimen,Specimen,,70061,1970-01-01,2099-12-31,
2000025548,SPUTUM,Specimen,mimiciv_micro_specimen,Specimen,,70062,1970-01-01,2099-12-31,
2000025549,STOOL,Specimen,mimiciv_micro_specimen,Specimen,,70064,1970-01-01,2099-12-31,
2000025550,STOOL (RECEIVED IN TRANSPORT SYSTEM),Specimen,mimiciv_micro_specimen,Specimen,,70066,1970-01-01,2099-12-31,
2000025551,SWAB,Specimen,mimiciv_micro_specimen,Specimen,,70067,1970-01-01,2099-12-31,
2000025552,SWAB,Specimen,mimiciv_micro_specimen,Specimen,,70068,1970-01-01,2099-12-31,
2000025553,SWAB,Specimen,mimiciv_micro_specimen,Specimen,,70069,1970-01-01,2099-12-31,
2000025554,SWAB,Specimen,mimiciv_micro_specimen,Specimen,,70070,1970-01-01,2099-12-31,
2000025555,SWAB - R/O YEAST,Specimen,mimiciv_micro_specimen,Specimen,,70071,1970-01-01,2099-12-31,
2000025556,TRACHEAL ASPIRATE,Specimen,mimiciv_micro_specimen,Specimen,,70072,1970-01-01,2099-12-31,
2000025557,TISSUE,Specimen,mimiciv_micro_specimen,Specimen,,70073,1970-01-01,2099-12-31,
2000025558,THROAT,Specimen,mimiciv_micro_specimen,Specimen,,70074,1970-01-01,2099-12-31,
2000025559,THROAT CULTURE,Specimen,mimiciv_micro_specimen,Specimen,,70075,1970-01-01,2099-12-31,
2000025560,TISSUE,Specimen,mimiciv_micro_specimen,Specimen,,70076,1970-01-01,2099-12-31,
2000025561,URINE,Specimen,mimiciv_micro_specimen,Specimen,,70077,1970-01-01,2099-12-31,
2000025562,"URINE,PROSTATIC MASSAGE",Specimen,mimiciv_micro_specimen,Specimen,,70078,1970-01-01,2099-12-31,
2000025563,URINE,Specimen,mimiciv_micro_specimen,Specimen,,70079,1970-01-01,2099-12-31,
2000025564,"URINE,KIDNEY",Specimen,mimiciv_micro_specimen,Specimen,,70080,1970-01-01,2099-12-31,
2000025565,URINE,Specimen,mimiciv_micro_specimen,Specimen,,70081,1970-01-01,2099-12-31,
2000025566,"URINE,SUPRAPUBIC ASPIRATE",Specimen,mimiciv_micro_specimen,Specimen,,70082,1970-01-01,2099-12-31,
2000025567,SWAB,Specimen,mimiciv_micro_specimen,Specimen,,70084,1970-01-01,2099-12-31,
2000025568,WORM,Specimen,mimiciv_micro_specimen,Specimen,,70085,1970-01-01,2099-12-31,
2000025569,Blood (CMV AB),Specimen,mimiciv_micro_specimen,Specimen,,70087,1970-01-01,2099-12-31,
2000025570,Blood (EBV),Specimen,mimiciv_micro_specimen,Specimen,,70088,1970-01-01,2099-12-31,
2000025571,Blood (Malaria),Specimen,mimiciv_micro_specimen,Specimen,,70089,1970-01-01,2099-12-31,
2000025572,Mini-BAL,Specimen,mimiciv_micro_specimen,Specimen,,70090,1970-01-01,2099-12-31,
2000025573,MRSA SCREEN,Observation,mimiciv_micro_specimen,Observable Entity,,70091,1970-01-01,2099-12-31,
2000025574,"SWAB, R/O GC",Specimen,mimiciv_micro_specimen,Specimen,,70092,1970-01-01,2099-12-31,
2000025575,Blood (Toxo),Specimen,mimiciv_micro_specimen,Specimen,,70093,1970-01-01,2099-12-31,
2000025576,MRSA SCREEN,Observation,mimiciv_micro_specimen,Observable Entity,,90189,1970-01-01,2099-12-31,
2000025577,Staph aureus Screen,Procedure,mimiciv_micro_specimen,Procedure,,90198,1970-01-01,2099-12-31,
2000025578,BIOPSY,Specimen,mimiciv_micro_specimen,Specimen,,90271,1970-01-01,2099-12-31,
2000025579,TISSUE,Specimen,mimiciv_micro_specimen,Specimen,,90272,1970-01-01,2099-12-31,
2000025580,WORM,Specimen,mimiciv_micro_specimen,Specimen,,90609,1970-01-01,2099-12-31,
2000025581,AMNIOTIC FLUID,Specimen,mimiciv_micro_specimen,Specimen,,90902,1970-01-01,2099-12-31,
2000025582,CHORIONIC VILLUS SAMPLE,Specimen,mimiciv_micro_specimen,Specimen,,90909,1970-01-01,2099-12-31,
2000025583,BLOOD,Specimen,mimiciv_micro_specimen,Specimen,,90924,1970-01-01,2099-12-31,
2000025584,SKIN SCRAPINGS,Specimen,mimiciv_micro_specimen,Specimen,,90927,1970-01-01,2099-12-31,
2000025585,TRANSTRACHEAL ASPIRATE,Specimen,mimiciv_micro_specimen,Specimen,,90931,1970-01-01,2099-12-31,
