concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000025501,4002893,Maps to,1970-01-01,2099-12-31,
2000025502,4001183,Maps to,1970-01-01,2099-12-31,
2000025503,4001224,Maps to,1970-01-01,2099-12-31,
2000025504,4124277,Maps to,1970-01-01,2099-12-31,
2000025505,4001225,Maps to,1970-01-01,2099-12-31,
2000025506,4204953,Maps to,1970-01-01,2099-12-31,
2000025507,4001061,Maps to,1970-01-01,2099-12-31,
2000025508,4121220,Maps to,1970-01-01,2099-12-31,
2000025509,4001225,Maps to,1970-01-01,2099-12-31,
2000025510,4001225,Maps to,1970-01-01,2099-12-31,
2000025511,4122251,Maps to,1970-01-01,2099-12-31,
2000025512,4001225,Maps to,1970-01-01,2099-12-31,
2000025513,4001225,Maps to,1970-01-01,2099-12-31,
2000025514,4001225,Maps to,1970-01-01,2099-12-31,
2000025515,4001225,Maps to,1970-01-01,2099-12-31,
2000025516,4000623,Maps to,1970-01-01,2099-12-31,
2000025517,4000623,Maps to,1970-01-01,2099-12-31,
2000025518,4204953,Maps to,1970-01-01,2099-12-31,
2000025519,4121345,Maps to,1970-01-01,2099-12-31,
2000025520,4048961,Maps to,1970-01-01,2099-12-31,
2000025521,4001349,Maps to,1970-01-01,2099-12-31,
2000025522,4124259,Maps to,1970-01-01,2099-12-31,
2000025523,4119388,Maps to,1970-01-01,2099-12-31,
2000025524,4000624,Maps to,1970-01-01,2099-12-31,
2000025525,40491350,Maps to,1970-01-01,2099-12-31,
2000025526,4001225,Maps to,1970-01-01,2099-12-31,
2000025527,4001190,Maps to,1970-01-01,2099-12-31,
2000025528,40490923,Maps to,1970-01-01,2099-12-31,
2000025529,4122251,Maps to,1970-01-01,2099-12-31,
2000025530,4046837,Maps to,1970-01-01,2099-12-31,
2000025531,43531265,Maps to,1970-01-01,2099-12-31,
2000025532,4124279,Maps to,1970-01-01,2099-12-31,
2000025533,4057279,Maps to,1970-01-01,2099-12-31,
2000025534,4120698,Maps to,1970-01-01,2099-12-31,
2000025535,4048961,Maps to,1970-01-01,2099-12-31,
2000025536,4331823,Maps to,1970-01-01,2099-12-31,
2000025537,40490916,Maps to,1970-01-01,2099-12-31,
2000025538,4001225,Maps to,1970-01-01,2099-12-31,
2000025539,40491357,Maps to,1970-01-01,2099-12-31,
2000025540,4122251,Maps to,1970-01-01,2099-12-31,
2000025541,4001225,Maps to,1970-01-01,2099-12-31,
2000025542,4043942,Maps to,1970-01-01,2099-12-31,
2000025543,4302933,Maps to,1970-01-01,2099-12-31,
2000025544,4119536,Maps to,1970-01-01,2099-12-31,
2000025545,4201099,Maps to,1970-01-01,2099-12-31,
2000025546,4001225,Maps to,1970-01-01,2099-12-31,
2000025547,40490358,Maps to,1970-01-01,2099-12-31,
2000025548,4002876,Maps to,1970-01-01,2099-12-31,
2000025549,4002879,Maps to,1970-01-01,2099-12-31,
2000025550,4002879,Maps to,1970-01-01,2099-12-31,
2000025551,4120698,Maps to,1970-01-01,2099-12-31,
2000025552,4120698,Maps to,1970-01-01,2099-12-31,
2000025553,4120698,Maps to,1970-01-01,2099-12-31,
2000025554,4120698,Maps to,1970-01-01,2099-12-31,
2000025555,4120698,Maps to,1970-01-01,2099-12-31,
2000025556,4119387,Maps to,1970-01-01,2099-12-31,
2000025557,4002890,Maps to,1970-01-01,2099-12-31,
2000025558,4002893,Maps to,1970-01-01,2099-12-31,
2000025559,4002893,Maps to,1970-01-01,2099-12-31,
2000025560,4002890,Maps to,1970-01-01,2099-12-31,
2000025561,4046280,Maps to,1970-01-01,2099-12-31,
2000025562,4046280,Maps to,1970-01-01,2099-12-31,
2000025563,4046280,Maps to,1970-01-01,2099-12-31,
2000025564,4046280,Maps to,1970-01-01,2099-12-31,
2000025565,4046280,Maps to,1970-01-01,2099-12-31,
2000025566,4046280,Maps to,1970-01-01,2099-12-31,
2000025567,4120698,Maps to,1970-01-01,2099-12-31,
2000025568,45767301,Maps to,1970-01-01,2099-12-31,
2000025569,4001225,Maps to,1970-01-01,2099-12-31,
2000025570,4001225,Maps to,1970-01-01,2099-12-31,
2000025571,4001225,Maps to,1970-01-01,2099-12-31,
2000025572,4001349,Maps to,1970-01-01,2099-12-31,
2000025573,37397888,Maps to,1970-01-01,2099-12-31,
2000025574,4120698,Maps to,1970-01-01,2099-12-31,
2000025575,4001225,Maps to,1970-01-01,2099-12-31,
2000025576,37397888,Maps to,1970-01-01,2099-12-31,
2000025577,4201099,Maps to,1970-01-01,2099-12-31,
2000025578,4121220,Maps to,1970-01-01,2099-12-31,
2000025579,4002890,Maps to,1970-01-01,2099-12-31,
2000025580,45767301,Maps to,1970-01-01,2099-12-31,
2000025581,4002223,Maps to,1970-01-01,2099-12-31,
2000025582,4120354,Maps to,1970-01-01,2099-12-31,
2000025583,4001225,Maps to,1970-01-01,2099-12-31,
2000025584,40490358,Maps to,1970-01-01,2099-12-31,
2000025585,4119387,Maps to,1970-01-01,2099-12-31,
4002893,2000025501,Mapped from,1970-01-01,2099-12-31,
4001183,2000025502,Mapped from,1970-01-01,2099-12-31,
4001224,2000025503,Mapped from,1970-01-01,2099-12-31,
4124277,2000025504,Mapped from,1970-01-01,2099-12-31,
4001225,2000025505,Mapped from,1970-01-01,2099-12-31,
4204953,2000025506,Mapped from,1970-01-01,2099-12-31,
4001061,2000025507,Mapped from,1970-01-01,2099-12-31,
4121220,2000025508,Mapped from,1970-01-01,2099-12-31,
4001225,2000025509,Mapped from,1970-01-01,2099-12-31,
4001225,2000025510,Mapped from,1970-01-01,2099-12-31,
4122251,2000025511,Mapped from,1970-01-01,2099-12-31,
4001225,2000025512,Mapped from,1970-01-01,2099-12-31,
4001225,2000025513,Mapped from,1970-01-01,2099-12-31,
4001225,2000025514,Mapped from,1970-01-01,2099-12-31,
4001225,2000025515,Mapped from,1970-01-01,2099-12-31,
4000623,2000025516,Mapped from,1970-01-01,2099-12-31,
4000623,2000025517,Mapped from,1970-01-01,2099-12-31,
4204953,2000025518,Mapped from,1970-01-01,2099-12-31,
4121345,2000025519,Mapped from,1970-01-01,2099-12-31,
4048961,2000025520,Mapped from,1970-01-01,2099-12-31,
4001349,2000025521,Mapped from,1970-01-01,2099-12-31,
4124259,2000025522,Mapped from,1970-01-01,2099-12-31,
4119388,2000025523,Mapped from,1970-01-01,2099-12-31,
4000624,2000025524,Mapped from,1970-01-01,2099-12-31,
40491350,2000025525,Mapped from,1970-01-01,2099-12-31,
4001225,2000025526,Mapped from,1970-01-01,2099-12-31,
4001190,2000025527,Mapped from,1970-01-01,2099-12-31,
40490923,2000025528,Mapped from,1970-01-01,2099-12-31,
4122251,2000025529,Mapped from,1970-01-01,2099-12-31,
4046837,2000025530,Mapped from,1970-01-01,2099-12-31,
43531265,2000025531,Mapped from,1970-01-01,2099-12-31,
4124279,2000025532,Mapped from,1970-01-01,2099-12-31,
4057279,2000025533,Mapped from,1970-01-01,2099-12-31,
4120698,2000025534,Mapped from,1970-01-01,2099-12-31,
4048961,2000025535,Mapped from,1970-01-01,2099-12-31,
4331823,2000025536,Mapped from,1970-01-01,2099-12-31,
40490916,2000025537,Mapped from,1970-01-01,2099-12-31,
4001225,2000025538,Mapped from,1970-01-01,2099-12-31,
40491357,2000025539,Mapped from,1970-01-01,2099-12-31,
4122251,2000025540,Mapped from,1970-01-01,2099-12-31,
4001225,2000025541,Mapped from,1970-01-01,2099-12-31,
4043942,2000025542,Mapped from,1970-01-01,2099-12-31,
4302933,2000025543,Mapped from,1970-01-01,2099-12-31,
4119536,2000025544,Mapped from,1970-01-01,2099-12-31,
4201099,2000025545,Mapped from,1970-01-01,2099-12-31,
4001225,2000025546,Mapped from,1970-01-01,2099-12-31,
40490358,2000025547,Mapped from,1970-01-01,2099-12-31,
4002876,2000025548,Mapped from,1970-01-01,2099-12-31,
4002879,2000025549,Mapped from,1970-01-01,2099-12-31,
4002879,2000025550,Mapped from,1970-01-01,2099-12-31,
4120698,2000025551,Mapped from,1970-01-01,2099-12-31,
4120698,2000025552,Mapped from,1970-01-01,2099-12-31,
4120698,2000025553,Mapped from,1970-01-01,2099-12-31,
4120698,2000025554,Mapped from,1970-01-01,2099-12-31,
4120698,2000025555,Mapped from,1970-01-01,2099-12-31,
4119387,2000025556,Mapped from,1970-01-01,2099-12-31,
4002890,2000025557,Mapped from,1970-01-01,2099-12-31,
4002893,2000025558,Mapped from,1970-01-01,2099-12-31,
4002893,2000025559,Mapped from,1970-01-01,2099-12-31,
4002890,2000025560,Mapped from,1970-01-01,2099-12-31,
4046280,2000025561,Mapped from,1970-01-01,2099-12-31,
4046280,2000025562,Mapped from,1970-01-01,2099-12-31,
4046280,2000025563,Mapped from,1970-01-01,2099-12-31,
4046280,2000025564,Mapped from,1970-01-01,2099-12-31,
4046280,2000025565,Mapped from,1970-01-01,2099-12-31,
4046280,2000025566,Mapped from,1970-01-01,2099-12-31,
4120698,2000025567,Mapped from,1970-01-01,2099-12-31,
45767301,2000025568,Mapped from,1970-01-01,2099-12-31,
4001225,2000025569,Mapped from,1970-01-01,2099-12-31,
4001225,2000025570,Mapped from,1970-01-01,2099-12-31,
4001225,2000025571,Mapped from,1970-01-01,2099-12-31,
4001349,2000025572,Mapped from,1970-01-01,2099-12-31,
37397888,2000025573,Mapped from,1970-01-01,2099-12-31,
4120698,2000025574,Mapped from,1970-01-01,2099-12-31,
