concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000000002,dynes.sec.cm-5/m2,Unit,mimiciv_mimic_generated,Unit,S,dynes.sec.cm-5/m2,1970-01-01,2099-12-31,
2000000005,Intravenous Continous,Type Concept,mimiciv_mimic_generated,Drug Type,S,Intravenous Continous,1970-01-01,2099-12-31,
2000000004,Intravenous Bolus,Type Concept,mimiciv_mimic_generated,Drug Type,S,Intravenous Bolus,1970-01-01,2099-12-31,
2000000007,Labs - Culture Organisms,Type Concept,mimiciv_mimic_generated,Meas Type,S,Labs - Culture Organisms,1970-01-01,2099-12-31,
2000000011,Labs - Chemistry,Type Concept,mimiciv_mimic_generated,Meas Type,S,Labs - Chemistry,1970-01-01,2099-12-31,
2000000008,Labs - Culture Sensitivity,Type Concept,mimiciv_mimic_generated,Meas Type,S,Labs - Culture Sensitivity,1970-01-01,2099-12-31,
2000000009,Labs - Hemato,Type Concept,mimiciv_mimic_generated,Meas Type,S,Labs - Hemato,1970-01-01,2099-12-31,
2000000010,Labs - Blood Gaz,Type Concept,mimiciv_mimic_generated,Meas Type,S,Labs - Blood Gaz,1970-01-01,2099-12-31,
2000000003,Output Event,Type Concept,mimiciv_mimic_generated,Meas Type,S,Output Event,1970-01-01,2099-12-31,
2000000006,Ward and physical location,Type Concept,mimiciv_mimic_generated,Visit Type,S,Ward and physical location,1970-01-01,2099-12-31,
2000000000,Stroke Volume Variation,Measurement,mimiciv_mimic_generated,Clinical Observation,S,Stroke Volume Variation,1970-01-01,2099-12-31,
2000000012,Visit Detail,Metadata,mimiciv_mimic_generated,Domain,S,Visit Detail,1970-01-01,2099-12-31,
