concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000020001,Abdominal Pain,Observation,mimiciv_obs_drgcodes,MS-DRG,,Abdominal Pain,1970-01-01,2099-12-31,
2000020002,"ABORTION W D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY",Observation,mimiciv_obs_drgcodes,MS-DRG,,"ABORTION W D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY",1970-01-01,2099-12-31,
2000020003,ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,Observation,mimiciv_obs_drgcodes,MS-DRG,,ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,1970-01-01,2099-12-31,
2000020004,ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT,Observation,mimiciv_obs_drgcodes,MS-DRG,,ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT,1970-01-01,2099-12-31,
2000020005,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,Observation,mimiciv_obs_drgcodes,MS-DRG,,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,1970-01-01,2099-12-31,
2000020006,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W MCC,Observation,mimiciv_obs_drgcodes,MS-DRG,,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W MCC,1970-01-01,2099-12-31,
2000020007,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,Observation,mimiciv_obs_drgcodes,MS-DRG,,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,1970-01-01,2099-12-31,
2000020008,Acute Leukemia,Observation,mimiciv_obs_drgcodes,MS-DRG,,Acute Leukemia,1970-01-01,2099-12-31,
2000020009,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,Observation,mimiciv_obs_drgcodes,MS-DRG,,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,1970-01-01,2099-12-31,
2000020010,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W MCC,Observation,mimiciv_obs_drgcodes,MS-DRG,,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W MCC,1970-01-01,2099-12-31,
