concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000020001,200219,Maps to,1970-01-01,2099-12-31,
2000020002,38001490,Maps to,1970-01-01,2099-12-31,
2000020003,38001567,Maps to,1970-01-01,2099-12-31,
2000020004,38000936,Maps to,1970-01-01,2099-12-31,
2000020005,38000935,Maps to,1970-01-01,2099-12-31,
2000020006,38000934,Maps to,1970-01-01,2099-12-31,
2000020007,38000936,Maps to,1970-01-01,2099-12-31,
2000020008,138708,Maps to,1970-01-01,2099-12-31,
2000020009,38001534,Maps to,1970-01-01,2099-12-31,
2000020010,38001533,Maps to,1970-01-01,2099-12-31,
2000020011,38001535,Maps to,1970-01-01,2099-12-31,
2000020012,4134613,Maps to,1970-01-01,2099-12-31,
2000020013,312327,Maps to,1970-01-01,2099-12-31,
2000020014,38001109,Maps to,1970-01-01,2099-12-31,
2000020015,38001108,Maps to,1970-01-01,2099-12-31,
2000020016,38001110,Maps to,1970-01-01,2099-12-31,
2000020017,38001112,Maps to,1970-01-01,2099-12-31,
2000020018,38001111,Maps to,1970-01-01,2099-12-31,
2000020019,38001113,Maps to,1970-01-01,2099-12-31,
2000020020,4108805,Maps to,1970-01-01,2099-12-31,
2000020021,38001118,Maps to,1970-01-01,2099-12-31,
2000020022,38001117,Maps to,1970-01-01,2099-12-31,
2000020023,38001116,Maps to,1970-01-01,2099-12-31,
2000020024,38001423,Maps to,1970-01-01,2099-12-31,
2000020025,38001370,Maps to,1970-01-01,2099-12-31,
2000020026,38001371,Maps to,1970-01-01,2099-12-31,
2000020027,38001334,Maps to,1970-01-01,2099-12-31,
2000020028,38001333,Maps to,1970-01-01,2099-12-31,
2000020029,38001085,Maps to,1970-01-01,2099-12-31,
2000020030,38001107,Maps to,1970-01-01,2099-12-31,
2000020031,38001575,Maps to,1970-01-01,2099-12-31,
2000020032,38001577,Maps to,1970-01-01,2099-12-31,
2000020033,38001578,Maps to,1970-01-01,2099-12-31,
2000020034,201612,Maps to,1970-01-01,2099-12-31,
2000020035,40589905,Maps to,1970-01-01,2099-12-31,
2000020036,38001590,Maps to,1970-01-01,2099-12-31,
2000020037,38001591,Maps to,1970-01-01,2099-12-31,
2000020038,38000900,Maps to,1970-01-01,2099-12-31,
2000020039,38001080,Maps to,1970-01-01,2099-12-31,
2000020040,38001079,Maps to,1970-01-01,2099-12-31,
2000020041,38001081,Maps to,1970-01-01,2099-12-31,
2000020042,38001264,Maps to,1970-01-01,2099-12-31,
2000020043,38001263,Maps to,1970-01-01,2099-12-31,
2000020044,38001265,Maps to,1970-01-01,2099-12-31,
2000020045,38001265,Maps to,1970-01-01,2099-12-31,
2000020046,38001373,Maps to,1970-01-01,2099-12-31,
2000020047,38001372,Maps to,1970-01-01,2099-12-31,
2000020048,38001166,Maps to,1970-01-01,2099-12-31,
2000020049,38001168,Maps to,1970-01-01,2099-12-31,
2000020050,38001166,Maps to,1970-01-01,2099-12-31,
