concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000001301,21498981,Maps to,1970-01-01,2099-12-31,
2000001302,45885112,Maps to,1970-01-01,2099-12-31,
2000001303,45883718,Maps to,1970-01-01,2099-12-31,
2000001304,21498514,Maps to,1970-01-01,2099-12-31,
2000001305,21499435,Maps to,1970-01-01,2099-12-31,
21498981,2000001301,Mapped from,1970-01-01,2099-12-31,
45885112,2000001302,Mapped from,1970-01-01,2099-12-31,
45883718,2000001303,Mapped from,1970-01-01,2099-12-31,
21498514,2000001304,Mapped from,1970-01-01,2099-12-31,
21499435,2000001305,Mapped from,1970-01-01,2099-12-31,
