concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000001501,45883375,Maps to,1970-01-01,2099-12-31,
2000001502,45883710,Maps to,1970-01-01,2099-12-31,
2000001503,45876756,Maps to,1970-01-01,2099-12-31,
2000001504,45884459,Maps to,1970-01-01,2099-12-31,
2000001505,45881671,Maps to,1970-01-01,2099-12-31,
2000001506,45876636,Maps to,1970-01-01,2099-12-31,
2000001507,45883711,Maps to,1970-01-01,2099-12-31,
2000001521,4180186,Maps to,1970-01-01,2099-12-31,
45883375,2000001501,Mapped from,1970-01-01,2099-12-31,
45883710,2000001502,Mapped from,1970-01-01,2099-12-31,
45876756,2000001503,Mapped from,1970-01-01,2099-12-31,
45884459,2000001504,Mapped from,1970-01-01,2099-12-31,
45881671,2000001505,Mapped from,1970-01-01,2099-12-31,
45876636,2000001506,Mapped from,1970-01-01,2099-12-31,
45883711,2000001507,Mapped from,1970-01-01,2099-12-31,
4180186,2000001521,Mapped from,1970-01-01,2099-12-31,
