concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000001401,0,Maps to,1970-01-01,2099-12-31,
2000001402,0,Maps to,1970-01-01,2099-12-31,
2000001403,8515,Maps to,1970-01-01,2099-12-31,
2000001404,8527,Maps to,1970-01-01,2099-12-31,
2000001405,0,Maps to,1970-01-01,2099-12-31,
2000001406,8516,Maps to,1970-01-01,2099-12-31,
2000001407,8657,Maps to,1970-01-01,2099-12-31,
2000001408,38003563,Maps to,1970-01-01,2099-12-31,
0,2000001401,Mapped from,1970-01-01,2099-12-31,
0,2000001402,Mapped from,1970-01-01,2099-12-31,
8515,2000001403,Mapped from,1970-01-01,2099-12-31,
8527,2000001404,Mapped from,1970-01-01,2099-12-31,
0,2000001405,Mapped from,1970-01-01,2099-12-31,
8516,2000001406,Mapped from,1970-01-01,2099-12-31,
8657,2000001407,Mapped from,1970-01-01,2099-12-31,
38003563,2000001408,Mapped from,1970-01-01,2099-12-31,
