concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000004001,PICC Line Cap Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,224183,1970-01-01,2099-12-31,
2000004002,PICC Line Insertion Date,Procedure,mimiciv_proc_datetimeevents,Procedure,,224184,1970-01-01,2099-12-31,
2000004003,PICC Line Change over Wire Date,Procedure,mimiciv_proc_datetimeevents,Procedure,,224185,1970-01-01,2099-12-31,
2000004004,PICC Line Dressing Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,224186,1970-01-01,2099-12-31,
2000004005,PICC Line Tubing Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,224187,1970-01-01,2099-12-31,
2000004006,Multi Lumen Cap Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,224261,1970-01-01,2099-12-31,
2000004007,Multi Lumen Change over Wire Date,Procedure,mimiciv_proc_datetimeevents,Procedure,,224262,1970-01-01,2099-12-31,
2000004008,Multi Lumen Dressing Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,224279,1970-01-01,2099-12-31,
2000004009,Multi Lumen Insertion Date,Procedure,mimiciv_proc_datetimeevents,Procedure,,224280,1970-01-01,2099-12-31,
2000004010,Multi Lumen Tubing Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,224282,1970-01-01,2099-12-31,
2000004011,Arterial line Cap Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,224284,1970-01-01,2099-12-31,
2000004012,Arterial line Change over Wire Date,Procedure,mimiciv_proc_datetimeevents,Procedure,,224285,1970-01-01,2099-12-31,
2000004013,Arterial Line Dressing Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,224287,1970-01-01,2099-12-31,
2000004014,Arterial line Insertion Date,Procedure,mimiciv_proc_datetimeevents,Procedure,,224288,1970-01-01,2099-12-31,
2000004015,Arterial line Tubing Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,224290,1970-01-01,2099-12-31,
2000004016,Cordis/Introducer Cap Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,224292,1970-01-01,2099-12-31,
2000004017,Cordis/Introducer Change over Wire Date,Procedure,mimiciv_proc_datetimeevents,Procedure,,224293,1970-01-01,2099-12-31,
2000004018,Cordis/Introducer Dressing Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,224295,1970-01-01,2099-12-31,
2000004019,Cordis/Introducer Insertion Date,Procedure,mimiciv_proc_datetimeevents,Procedure,,224296,1970-01-01,2099-12-31,
2000004020,Cordis/Introducer Tubing Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,224298,1970-01-01,2099-12-31,
2000004021,GU Catheter Insertion Date,Procedure,mimiciv_proc_datetimeevents,Procedure,,224878,1970-01-01,2099-12-31,
2000004022,Pregnancy due date,Procedure,mimiciv_proc_datetimeevents,Procedure,,225083,1970-01-01,2099-12-31,
2000004023,Last dialysis,Procedure,mimiciv_proc_datetimeevents,Procedure,,225128,1970-01-01,2099-12-31,
2000004024,Trauma Line Cap Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,225213,1970-01-01,2099-12-31,
2000004025,Trauma Line Change over Wire Date,Procedure,mimiciv_proc_datetimeevents,Procedure,,225214,1970-01-01,2099-12-31,
2000004026,Trauma Line Dressing Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,225216,1970-01-01,2099-12-31,
2000004027,Trauma Line Tubing Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,225218,1970-01-01,2099-12-31,
2000004028,CCO PAC Cap Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,225221,1970-01-01,2099-12-31,
2000004029,CCO PAC Change over Wire Date,Procedure,mimiciv_proc_datetimeevents,Procedure,,225222,1970-01-01,2099-12-31,
2000004030,CCO PAC Dressing Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,225224,1970-01-01,2099-12-31,
2000004031,CCO PAC Tubing Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,225226,1970-01-01,2099-12-31,
2000004032,CCO PAC Insertion Date,Procedure,mimiciv_proc_datetimeevents,Procedure,,225316,1970-01-01,2099-12-31,
2000004033,Trauma Line Insertion Date,Procedure,mimiciv_proc_datetimeevents,Procedure,,225317,1970-01-01,2099-12-31,
2000004034,Dialysis Catheter Cap Change,Procedure,mimiciv_proc_datetimeevents,Procedure,,225318,1970-01-01,2099-12-31,
