concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000004001,4078442,Maps to,1970-01-01,2099-12-31,
2000004002,4322380,Maps to,1970-01-01,2099-12-31,
2000004003,4322380,Maps to,1970-01-01,2099-12-31,
2000004004,4078442,Maps to,1970-01-01,2099-12-31,
2000004005,4078442,Maps to,1970-01-01,2099-12-31,
2000004006,4078442,Maps to,1970-01-01,2099-12-31,
2000004007,4141149,Maps to,1970-01-01,2099-12-31,
2000004008,4078442,Maps to,1970-01-01,2099-12-31,
2000004009,4141149,Maps to,1970-01-01,2099-12-31,
2000004010,4078442,Maps to,1970-01-01,2099-12-31,
2000004011,4078442,Maps to,1970-01-01,2099-12-31,
2000004012,4213288,Maps to,1970-01-01,2099-12-31,
2000004013,4078442,Maps to,1970-01-01,2099-12-31,
2000004014,4213288,Maps to,1970-01-01,2099-12-31,
2000004015,4078442,Maps to,1970-01-01,2099-12-31,
2000004016,4078442,Maps to,1970-01-01,2099-12-31,
2000004017,4078442,Maps to,1970-01-01,2099-12-31,
2000004018,4078442,Maps to,1970-01-01,2099-12-31,
2000004019,4141149,Maps to,1970-01-01,2099-12-31,
2000004020,4078442,Maps to,1970-01-01,2099-12-31,
2000004021,36715149,Maps to,1970-01-01,2099-12-31,
2000004022,0,Maps to,1970-01-01,2099-12-31,
2000004023,0,Maps to,1970-01-01,2099-12-31,
2000004024,4078442,Maps to,1970-01-01,2099-12-31,
2000004025,4078442,Maps to,1970-01-01,2099-12-31,
2000004026,4078442,Maps to,1970-01-01,2099-12-31,
2000004027,4078442,Maps to,1970-01-01,2099-12-31,
2000004028,4078442,Maps to,1970-01-01,2099-12-31,
2000004029,4305794,Maps to,1970-01-01,2099-12-31,
2000004030,4078442,Maps to,1970-01-01,2099-12-31,
2000004031,4078442,Maps to,1970-01-01,2099-12-31,
2000004032,4305794,Maps to,1970-01-01,2099-12-31,
2000004033,4078442,Maps to,1970-01-01,2099-12-31,
2000004034,4078442,Maps to,1970-01-01,2099-12-31,
2000004035,4141149,Maps to,1970-01-01,2099-12-31,
2000004036,4078442,Maps to,1970-01-01,2099-12-31,
2000004037,4141149,Maps to,1970-01-01,2099-12-31,
2000004038,4078442,Maps to,1970-01-01,2099-12-31,
2000004039,4078442,Maps to,1970-01-01,2099-12-31,
2000004040,4168999,Maps to,1970-01-01,2099-12-31,
2000004041,4078442,Maps to,1970-01-01,2099-12-31,
2000004042,4168999,Maps to,1970-01-01,2099-12-31,
2000004043,4078442,Maps to,1970-01-01,2099-12-31,
2000004044,4309033,Maps to,1970-01-01,2099-12-31,
2000004045,4078442,Maps to,1970-01-01,2099-12-31,
2000004046,4309033,Maps to,1970-01-01,2099-12-31,
2000004047,4078442,Maps to,1970-01-01,2099-12-31,
2000004048,4078442,Maps to,1970-01-01,2099-12-31,
2000004049,42689574,Maps to,1970-01-01,2099-12-31,
2000004050,4078442,Maps to,1970-01-01,2099-12-31,
2000004051,42689574,Maps to,1970-01-01,2099-12-31,
2000004052,4078442,Maps to,1970-01-01,2099-12-31,
2000004053,4078442,Maps to,1970-01-01,2099-12-31,
2000004054,4305794,Maps to,1970-01-01,2099-12-31,
2000004055,4078442,Maps to,1970-01-01,2099-12-31,
2000004056,4305794,Maps to,1970-01-01,2099-12-31,
2000004057,4078442,Maps to,1970-01-01,2099-12-31,
2000004058,4078442,Maps to,1970-01-01,2099-12-31,
2000004059,4141149,Maps to,1970-01-01,2099-12-31,
2000004060,4078442,Maps to,1970-01-01,2099-12-31,
2000004061,4141149,Maps to,1970-01-01,2099-12-31,
2000004062,4078442,Maps to,1970-01-01,2099-12-31,
2000004063,4078442,Maps to,1970-01-01,2099-12-31,
2000004064,4197894,Maps to,1970-01-01,2099-12-31,
2000004065,4078442,Maps to,1970-01-01,2099-12-31,
2000004066,4078442,Maps to,1970-01-01,2099-12-31,
2000004067,4141149,Maps to,1970-01-01,2099-12-31,
2000004068,4078442,Maps to,1970-01-01,2099-12-31,
2000004069,4141149,Maps to,1970-01-01,2099-12-31,
2000004070,4078442,Maps to,1970-01-01,2099-12-31,
2000004071,4078442,Maps to,1970-01-01,2099-12-31,
2000004072,4078442,Maps to,1970-01-01,2099-12-31,
2000004073,4078442,Maps to,1970-01-01,2099-12-31,
2000004074,4078442,Maps to,1970-01-01,2099-12-31,
2000004075,4078442,Maps to,1970-01-01,2099-12-31,
2000004076,42536500,Maps to,1970-01-01,2099-12-31,
2000004077,42536500,Maps to,1970-01-01,2099-12-31,
2000004078,42536500,Maps to,1970-01-01,2099-12-31,
2000004079,42536500,Maps to,1970-01-01,2099-12-31,
2000004080,42536500,Maps to,1970-01-01,2099-12-31,
2000004081,4141149,Maps to,1970-01-01,2099-12-31,
2000004082,4078442,Maps to,1970-01-01,2099-12-31,
2000004083,4078442,Maps to,1970-01-01,2099-12-31,
2000004084,4078442,Maps to,1970-01-01,2099-12-31,
2000004085,4078442,Maps to,1970-01-01,2099-12-31,
2000004086,4078442,Maps to,1970-01-01,2099-12-31,
2000004087,4078442,Maps to,1970-01-01,2099-12-31,
2000004088,4048955,Maps to,1970-01-01,2099-12-31,
2000004089,4078442,Maps to,1970-01-01,2099-12-31,
2000004090,0,Maps to,1970-01-01,2099-12-31,
2000004091,0,Maps to,1970-01-01,2099-12-31,
