concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000003001,CT scan,Procedure,mimiciv_proc_itemid,Procedure,,221214,1970-01-01,2099-12-31,
2000003002,X-ray,Procedure,mimiciv_proc_itemid,Procedure,,221216,1970-01-01,2099-12-31,
2000003003,Ultrasound,Procedure,mimiciv_proc_itemid,Procedure,,221217,1970-01-01,2099-12-31,
2000003004,Venogram,Procedure,mimiciv_proc_itemid,Procedure,,221219,1970-01-01,2099-12-31,
2000003005,EEG,Procedure,mimiciv_proc_itemid,Procedure,,221223,1970-01-01,2099-12-31,
2000003006,Trans Esophageal Echo,Procedure,mimiciv_proc_itemid,Procedure,,221255,1970-01-01,2099-12-31,
2000003007,Magnetic Resonance Imaging,Procedure,mimiciv_proc_itemid,Procedure,,223253,1970-01-01,2099-12-31,
2000003008,Multi Lumen,Procedure,mimiciv_proc_itemid,Procedure,,224263,1970-01-01,2099-12-31,
2000003009,PICC Line,Procedure,mimiciv_proc_itemid,Procedure,,224264,1970-01-01,2099-12-31,
2000003010,Cordis/Introducer,Procedure,mimiciv_proc_itemid,Procedure,,224267,1970-01-01,2099-12-31,
2000003011,Trauma line,Procedure,mimiciv_proc_itemid,Procedure,,224268,1970-01-01,2099-12-31,
2000003012,CCO PAC,Procedure,mimiciv_proc_itemid,Procedure,,224269,1970-01-01,2099-12-31,
2000003013,Dialysis Catheter,Procedure,mimiciv_proc_itemid,Procedure,,224270,1970-01-01,2099-12-31,
2000003014,IABP line,Procedure,mimiciv_proc_itemid,Procedure,,224272,1970-01-01,2099-12-31,
2000003015,Presep Catheter,Procedure,mimiciv_proc_itemid,Procedure,,224273,1970-01-01,2099-12-31,
2000003016,22 Gauge,Procedure,mimiciv_proc_itemid,Procedure,,224274,1970-01-01,2099-12-31,
2000003017,20 Gauge,Procedure,mimiciv_proc_itemid,Procedure,,224275,1970-01-01,2099-12-31,
2000003018,16 Gauge,Procedure,mimiciv_proc_itemid,Procedure,,224276,1970-01-01,2099-12-31,
2000003019,18 Gauge,Procedure,mimiciv_proc_itemid,Procedure,,224277,1970-01-01,2099-12-31,
2000003020,Intubation,Procedure,mimiciv_proc_itemid,Procedure,,224385,1970-01-01,2099-12-31,
2000003021,PA Catheter,Procedure,mimiciv_proc_itemid,Procedure,,224560,1970-01-01,2099-12-31,
2000003022,14 Gauge,Procedure,mimiciv_proc_itemid,Procedure,,224566,1970-01-01,2099-12-31,
2000003023,Triple Introducer,Procedure,mimiciv_proc_itemid,Procedure,,225199,1970-01-01,2099-12-31,
2000003024,Indwelling Port (PortaCath),Procedure,mimiciv_proc_itemid,Procedure,,225202,1970-01-01,2099-12-31,
2000003025,Pheresis Catheter,Procedure,mimiciv_proc_itemid,Procedure,,225203,1970-01-01,2099-12-31,
2000003026,Midline,Procedure,mimiciv_proc_itemid,Procedure,,225204,1970-01-01,2099-12-31,
2000003027,RIC,Procedure,mimiciv_proc_itemid,Procedure,,225205,1970-01-01,2099-12-31,
2000003028,Tunneled (Hickman) Line,Procedure,mimiciv_proc_itemid,Procedure,,225315,1970-01-01,2099-12-31,
2000003029,Lumbar Puncture,Procedure,mimiciv_proc_itemid,Procedure,,225399,1970-01-01,2099-12-31,
2000003030,Bronchoscopy,Procedure,mimiciv_proc_itemid,Procedure,,225400,1970-01-01,2099-12-31,
2000003031,Blood Cultured,Procedure,mimiciv_proc_itemid,Procedure,,225401,1970-01-01,2099-12-31,
2000003032,EKG,Procedure,mimiciv_proc_itemid,Procedure,,225402,1970-01-01,2099-12-31,
2000003033,Angiography,Procedure,mimiciv_proc_itemid,Procedure,,225427,1970-01-01,2099-12-31,
2000003034,Blakemore / MinnesotaTube Inserted,Procedure,mimiciv_proc_itemid,Procedure,,225429,1970-01-01,2099-12-31,
2000003035,Cardiac Cath,Procedure,mimiciv_proc_itemid,Procedure,,225430,1970-01-01,2099-12-31,
2000003036,Transthoracic Echo,Procedure,mimiciv_proc_itemid,Procedure,,225432,1970-01-01,2099-12-31,
2000003037,Chest Tube Placed,Procedure,mimiciv_proc_itemid,Procedure,,225433,1970-01-01,2099-12-31,
2000003038,Colonoscopy,Procedure,mimiciv_proc_itemid,Procedure,,225434,1970-01-01,2099-12-31,
2000003039,CSF Culture,Procedure,mimiciv_proc_itemid,Procedure,,225437,1970-01-01,2099-12-31,
2000003040,Endoscopy,Procedure,mimiciv_proc_itemid,Procedure,,225439,1970-01-01,2099-12-31,
2000003041,Fluoroscopy,Procedure,mimiciv_proc_itemid,Procedure,,225440,1970-01-01,2099-12-31,
2000003042,Hemodialysis,Procedure,mimiciv_proc_itemid,Procedure,,225441,1970-01-01,2099-12-31,
2000003043,Liver Biopsy,Procedure,mimiciv_proc_itemid,Procedure,,225442,1970-01-01,2099-12-31,
2000003044,Nuclear Medicine,Procedure,mimiciv_proc_itemid,Procedure,,225443,1970-01-01,2099-12-31,
2000003045,Pan Culture,Procedure,mimiciv_proc_itemid,Procedure,,225444,1970-01-01,2099-12-31,
2000003046,Paracentesis,Procedure,mimiciv_proc_itemid,Procedure,,225445,1970-01-01,2099-12-31,
