concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000003001,4180642,Maps to,1970-01-01,2099-12-31,
2000003002,4056681,Maps to,1970-01-01,2099-12-31,
2000003003,4037672,Maps to,1970-01-01,2099-12-31,
2000003004,4175809,Maps to,1970-01-01,2099-12-31,
2000003005,4181917,Maps to,1970-01-01,2099-12-31,
2000003006,4019824,Maps to,1970-01-01,2099-12-31,
2000003007,4013636,Maps to,1970-01-01,2099-12-31,
2000003008,4052413,Maps to,1970-01-01,2099-12-31,
2000003009,4322380,Maps to,1970-01-01,2099-12-31,
2000003010,4052413,Maps to,1970-01-01,2099-12-31,
2000003011,4052413,Maps to,1970-01-01,2099-12-31,
2000003012,4279768,Maps to,1970-01-01,2099-12-31,
2000003013,4267880,Maps to,1970-01-01,2099-12-31,
2000003014,4060257,Maps to,1970-01-01,2099-12-31,
2000003015,4279768,Maps to,1970-01-01,2099-12-31,
2000003016,4049832,Maps to,1970-01-01,2099-12-31,
2000003017,4049832,Maps to,1970-01-01,2099-12-31,
2000003018,4049832,Maps to,1970-01-01,2099-12-31,
2000003019,4049832,Maps to,1970-01-01,2099-12-31,
2000003020,4013354,Maps to,1970-01-01,2099-12-31,
2000003021,4279768,Maps to,1970-01-01,2099-12-31,
2000003022,4049832,Maps to,1970-01-01,2099-12-31,
2000003023,4052413,Maps to,1970-01-01,2099-12-31,
2000003024,4174447,Maps to,1970-01-01,2099-12-31,
2000003025,4329775,Maps to,1970-01-01,2099-12-31,
2000003026,4322380,Maps to,1970-01-01,2099-12-31,
2000003027,4049832,Maps to,1970-01-01,2099-12-31,
2000003028,4329775,Maps to,1970-01-01,2099-12-31,
2000003029,4080549,Maps to,1970-01-01,2099-12-31,
2000003030,4032404,Maps to,1970-01-01,2099-12-31,
2000003031,4107893,Maps to,1970-01-01,2099-12-31,
2000003032,4163951,Maps to,1970-01-01,2099-12-31,
2000003033,4299523,Maps to,1970-01-01,2099-12-31,
2000003034,4125150,Maps to,1970-01-01,2099-12-31,
2000003035,4148369,Maps to,1970-01-01,2099-12-31,
2000003036,4335825,Maps to,1970-01-01,2099-12-31,
2000003037,4141919,Maps to,1970-01-01,2099-12-31,
2000003038,4249893,Maps to,1970-01-01,2099-12-31,
2000003039,4014499,Maps to,1970-01-01,2099-12-31,
2000003040,4313889,Maps to,1970-01-01,2099-12-31,
2000003041,4195288,Maps to,1970-01-01,2099-12-31,
2000003042,4051326,Maps to,1970-01-01,2099-12-31,
2000003043,4314001,Maps to,1970-01-01,2099-12-31,
2000003044,4155794,Maps to,1970-01-01,2099-12-31,
2000003045,4107893,Maps to,1970-01-01,2099-12-31,
2000003046,4231419,Maps to,1970-01-01,2099-12-31,
2000003047,4122234,Maps to,1970-01-01,2099-12-31,
2000003048,4046266,Maps to,1970-01-01,2099-12-31,
2000003049,4168133,Maps to,1970-01-01,2099-12-31,
2000003050,4149930,Maps to,1970-01-01,2099-12-31,
2000003051,4205728,Maps to,1970-01-01,2099-12-31,
2000003052,4015189,Maps to,1970-01-01,2099-12-31,
2000003053,4024509,Maps to,1970-01-01,2099-12-31,
2000003054,4264477,Maps to,1970-01-01,2099-12-31,
2000003055,4163872,Maps to,1970-01-01,2099-12-31,
2000003056,4109351,Maps to,1970-01-01,2099-12-31,
2000003057,4081708,Maps to,1970-01-01,2099-12-31,
2000003058,4111530,Maps to,1970-01-01,2099-12-31,
2000003059,4083499,Maps to,1970-01-01,2099-12-31,
2000003060,77670,Maps to,1970-01-01,2099-12-31,
2000003061,321042,Maps to,1970-01-01,2099-12-31,
2000003062,4073393,Maps to,1970-01-01,2099-12-31,
2000003063,4150627,Maps to,1970-01-01,2099-12-31,
2000003064,4265599,Maps to,1970-01-01,2099-12-31,
2000003065,4162219,Maps to,1970-01-01,2099-12-31,
2000003066,253796,Maps to,1970-01-01,2099-12-31,
2000003067,436583,Maps to,1970-01-01,2099-12-31,
2000003068,317109,Maps to,1970-01-01,2099-12-31,
2000003069,4022792,Maps to,1970-01-01,2099-12-31,
2000003070,4150627,Maps to,1970-01-01,2099-12-31,
2000003071,4240305,Maps to,1970-01-01,2099-12-31,
2000003072,4213288,Maps to,1970-01-01,2099-12-31,
2000003073,4309701,Maps to,1970-01-01,2099-12-31,
2000003074,4097246,Maps to,1970-01-01,2099-12-31,
2000003075,4177224,Maps to,1970-01-01,2099-12-31,
2000003076,37018292,Maps to,1970-01-01,2099-12-31,
2000003077,4324124,Maps to,1970-01-01,2099-12-31,
2000003078,4024963,Maps to,1970-01-01,2099-12-31,
2000003079,4296651,Maps to,1970-01-01,2099-12-31,
2000003080,37204340,Maps to,1970-01-01,2099-12-31,
2000003081,4160041,Maps to,1970-01-01,2099-12-31,
2000003082,4109351,Maps to,1970-01-01,2099-12-31,
2000003083,4022792,Maps to,1970-01-01,2099-12-31,
2000003084,4208080,Maps to,1970-01-01,2099-12-31,
2000003085,4124280,Maps to,1970-01-01,2099-12-31,
