concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000001601,AMBULATORY SURGERY TRANSFER,Visit,mimiciv_vis_admission_location,Visit,,AMBULATORY SURGERY TRANSFER,1970-01-01,2099-12-31,
2000001602,CLINIC REFERRAL,Visit,mimiciv_vis_admission_location,Visit,,CLINIC REFERRAL,1970-01-01,2099-12-31,
2000001603,EMERGENCY ROOM,Visit,mimiciv_vis_admission_location,Visit,,EMERGENCY ROOM,1970-01-01,2099-12-31,
2000001604,INFORMATION NOT AVAILABLE,Visit,mimiciv_vis_admission_location,Visit,,INFORMATION NOT AVAILABLE,1970-01-01,2099-12-31,
2000001605,INTERNAL TRANSFER TO OR FROM PSYCH,Visit,mimiciv_vis_admission_location,Visit,,INTERNAL TRANSFER TO OR FROM PSYCH,1970-01-01,2099-12-31,
2000001606,PACU,Visit,mimiciv_vis_admission_location,Visit,,PACU,1970-01-01,2099-12-31,
2000001607,PHYSICIAN REFERRAL,Visit,mimiciv_vis_admission_location,Visit,,PHYSICIAN REFERRAL,1970-01-01,2099-12-31,
2000001608,TRANSFER FROM HOSPITAL,Visit,mimiciv_vis_admission_location,Visit,,TRANSFER FROM HOSPITAL,1970-01-01,2099-12-31,
2000001609,TRANSFER FROM SKILLED NURSING FACILITY,Visit,mimiciv_vis_admission_location,Visit,,TRANSFER FROM SKILLED NURSING FACILITY,1970-01-01,2099-12-31,
2000001610,Med/Surg,Observation,mimiciv_vis_admission_location,Location,,Med/Surg,1970-01-01,2099-12-31,
2000001611,Neurology,Observation,mimiciv_vis_admission_location,Location,,Neurology,1970-01-01,2099-12-31,
2000001612,Hematology/Oncology,Observation,mimiciv_vis_admission_location,Location,,Hematology/Oncology,1970-01-01,2099-12-31,
2000001613,Vascular,Observation,mimiciv_vis_admission_location,Location,,Vascular,1970-01-01,2099-12-31,
2000001614,Transplant,Observation,mimiciv_vis_admission_location,Location,,Transplant,1970-01-01,2099-12-31,
2000001615,Neonatal Intensive Care Unit (NICU),Observation,mimiciv_vis_admission_location,Location,,Neonatal Intensive Care Unit (NICU),1970-01-01,2099-12-31,
2000001616,Med/Surg/Trauma,Observation,mimiciv_vis_admission_location,Location,,Med/Surg/Trauma,1970-01-01,2099-12-31,
2000001617,Med/Surg/GYN,Observation,mimiciv_vis_admission_location,Location,,Med/Surg/GYN,1970-01-01,2099-12-31,
2000001618,Labor & Delivery,Observation,mimiciv_vis_admission_location,Location,,Labor & Delivery,1970-01-01,2099-12-31,
2000001619,Medical Intensive Care Unit (MICU),Observation,mimiciv_vis_admission_location,Location,,Medical Intensive Care Unit (MICU),1970-01-01,2099-12-31,
2000001620,Surgery/Trauma,Observation,mimiciv_vis_admission_location,Location,,Surgery/Trauma,1970-01-01,2099-12-31,
2000001621,Cardiac Surgery,Observation,mimiciv_vis_admission_location,Location,,Cardiac Surgery,1970-01-01,2099-12-31,
2000001622,Medical/Surgical Intensive Care Unit (MICU/SICU),Visit,mimiciv_vis_admission_location,Visit,,Medical/Surgical Intensive Care Unit (MICU/SICU),1970-01-01,2099-12-31,
2000001623,Cardiac Vascular Intensive Care Unit (CVICU),Observation,mimiciv_vis_admission_location,Location,,Cardiac Vascular Intensive Care Unit (CVICU),1970-01-01,2099-12-31,
2000001624,Obstetrics (Postpartum & Antepartum),Observation,mimiciv_vis_admission_location,Location,,Obstetrics (Postpartum & Antepartum),1970-01-01,2099-12-31,
2000001625,Surgical Intensive Care Unit (SICU),Observation,mimiciv_vis_admission_location,Location,,Surgical Intensive Care Unit (SICU),1970-01-01,2099-12-31,
2000001626,Psychiatry,Observation,mimiciv_vis_admission_location,Location,,Psychiatry,1970-01-01,2099-12-31,
2000001627,Trauma SICU (TSICU),Observation,mimiciv_vis_admission_location,Location,,Trauma SICU (TSICU),1970-01-01,2099-12-31,
2000001628,Hematology/Oncology Intermediate,Observation,mimiciv_vis_admission_location,Location,,Hematology/Oncology Intermediate,1970-01-01,2099-12-31,
2000001629,Special Care Nursery (SCN),Observation,mimiciv_vis_admission_location,Location,,Special Care Nursery (SCN),1970-01-01,2099-12-31,
2000001630,Coronary Care Unit (CCU),Visit,mimiciv_vis_admission_location,Visit,,Coronary Care Unit (CCU),1970-01-01,2099-12-31,
2000001631,Medical/Surgical (Gynecology),Observation,mimiciv_vis_admission_location,Location,,Medical/Surgical (Gynecology),1970-01-01,2099-12-31,
2000001632,Surgery,Visit,mimiciv_vis_admission_location,Visit,,Surgery,1970-01-01,2099-12-31,
2000001633,Surgery/Vascular/Intermediate,Visit,mimiciv_vis_admission_location,Visit,,Surgery/Vascular/Intermediate,1970-01-01,2099-12-31,
2000001634,Surgery/Pancreatic/Biliary/Bariatric,Visit,mimiciv_vis_admission_location,Visit,,Surgery/Pancreatic/Biliary/Bariatric,1970-01-01,2099-12-31,
2000001635,Medicine/Cardiology Intermediate,Visit,mimiciv_vis_admission_location,Visit,,Medicine/Cardiology Intermediate,1970-01-01,2099-12-31,
2000001636,Cardiology Surgery Intermediate,Observation,mimiciv_vis_admission_location,Location,,Cardiology Surgery Intermediate,1970-01-01,2099-12-31,
2000001637,Obstetrics Postpartum,Observation,mimiciv_vis_admission_location,Location,,Obstetrics Postpartum,1970-01-01,2099-12-31,
