concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000001601,8883,Maps to,1970-01-01,2099-12-31,
2000001602,38004207,Maps to,1970-01-01,2099-12-31,
2000001603,8870,Maps to,1970-01-01,2099-12-31,
2000001604,21498751,Maps to,1970-01-01,2099-12-31,
2000001605,8971,Maps to,1970-01-01,2099-12-31,
2000001606,4134563,Maps to,1970-01-01,2099-12-31,
2000001607,38004207,Maps to,1970-01-01,2099-12-31,
2000001608,8717,Maps to,1970-01-01,2099-12-31,
2000001609,8863,Maps to,1970-01-01,2099-12-31,
2000001610,4160026,Maps to,1970-01-01,2099-12-31,
2000001611,4150070,Maps to,1970-01-01,2099-12-31,
2000001612,4150076,Maps to,1970-01-01,2099-12-31,
2000001613,4150086,Maps to,1970-01-01,2099-12-31,
2000001614,4147111,Maps to,1970-01-01,2099-12-31,
2000001615,4231410,Maps to,1970-01-01,2099-12-31,
2000001616,4160026,Maps to,1970-01-01,2099-12-31,
2000001617,4160026,Maps to,1970-01-01,2099-12-31,
2000001618,4226137,Maps to,1970-01-01,2099-12-31,
2000001619,40481392,Maps to,1970-01-01,2099-12-31,
2000001620,4148517,Maps to,1970-01-01,2099-12-31,
2000001621,4148511,Maps to,1970-01-01,2099-12-31,
2000001622,32037,Maps to,1970-01-01,2099-12-31,
2000001623,4149943,Maps to,1970-01-01,2099-12-31,
2000001624,4148986,Maps to,1970-01-01,2099-12-31,
2000001625,4305366,Maps to,1970-01-01,2099-12-31,
2000001626,4150077,Maps to,1970-01-01,2099-12-31,
2000001627,763903,Maps to,1970-01-01,2099-12-31,
2000001628,4150076,Maps to,1970-01-01,2099-12-31,
2000001629,4150074,Maps to,1970-01-01,2099-12-31,
2000001630,4149943,Maps to,1970-01-01,2099-12-31,
2000001631,4150072,Maps to,1970-01-01,2099-12-31,
2000001632,4150080,Maps to,1970-01-01,2099-12-31,
2000001633,4150086,Maps to,1970-01-01,2099-12-31,
2000001634,4148513,Maps to,1970-01-01,2099-12-31,
2000001635,4149946,Maps to,1970-01-01,2099-12-31,
2000001636,4148511,Maps to,1970-01-01,2099-12-31,
2000001637,4148986,Maps to,1970-01-01,2099-12-31,
2000001638,4150070,Maps to,1970-01-01,2099-12-31,
2000001639,4148989,Maps to,1970-01-01,2099-12-31,
2000001640,4305366,Maps to,1970-01-01,2099-12-31,
2000001641,4149946,Maps to,1970-01-01,2099-12-31,
2000001642,4305525,Maps to,1970-01-01,2099-12-31,
2000001643,4148986,Maps to,1970-01-01,2099-12-31,
2000001701,38004279,Maps to,1970-01-01,2099-12-31,
2000001702,40482021,Maps to,1970-01-01,2099-12-31,
2000001703,8615,Maps to,1970-01-01,2099-12-31,
2000001704,38004277,Maps to,1970-01-01,2099-12-31,
2000001705,4216643,Maps to,1970-01-01,2099-12-31,
2000001706,8615,Maps to,1970-01-01,2099-12-31,
2000001707,581476,Maps to,1970-01-01,2099-12-31,
2000001708,581476,Maps to,1970-01-01,2099-12-31,
2000001709,8546,Maps to,1970-01-01,2099-12-31,
2000001710,3040792,Maps to,1970-01-01,2099-12-31,
2000001711,8971,Maps to,1970-01-01,2099-12-31,
2000001712,38004285,Maps to,1970-01-01,2099-12-31,
2000001713,8863,Maps to,1970-01-01,2099-12-31,
2000001801,38004207,Maps to,1970-01-01,2099-12-31,
2000001802,8870,Maps to,1970-01-01,2099-12-31,
2000001803,581385,Maps to,1970-01-01,2099-12-31,
2000001804,9201,Maps to,1970-01-01,2099-12-31,
2000001805,581385,Maps to,1970-01-01,2099-12-31,
2000001806,8870,Maps to,1970-01-01,2099-12-31,
2000001807,581385,Maps to,1970-01-01,2099-12-31,
2000001808,8883,Maps to,1970-01-01,2099-12-31,
2000001809,262,Maps to,1970-01-01,2099-12-31,
2000001850,4148512,Maps to,1970-01-01,2099-12-31,
2000001851,4148991,Maps to,1970-01-01,2099-12-31,
2000001852,4148516,Maps to,1970-01-01,2099-12-31,
2000001853,4148504,Maps to,1970-01-01,2099-12-31,
2000001854,4150072,Maps to,1970-01-01,2099-12-31,
2000001855,4147091,Maps to,1970-01-01,2099-12-31,
2000001856,4148986,Maps to,1970-01-01,2099-12-31,
2000001857,4150083,Maps to,1970-01-01,2099-12-31,
2000001858,4150077,Maps to,1970-01-01,2099-12-31,
2000001859,4148517,Maps to,1970-01-01,2099-12-31,
2000001860,4149946,Maps to,1970-01-01,2099-12-31,
2000001861,4150080,Maps to,1970-01-01,2099-12-31,
2000001862,4150083,Maps to,1970-01-01,2099-12-31,
2000001863,4148511,Maps to,1970-01-01,2099-12-31,
2000001864,4150070,Maps to,1970-01-01,2099-12-31,
2000001865,4150086,Maps to,1970-01-01,2099-12-31,
2000001866,4150085,Maps to,1970-01-01,2099-12-31,
2000001867,4148989,Maps to,1970-01-01,2099-12-31,
2000001868,4160140,Maps to,1970-01-01,2099-12-31,
8883,2000001601,Mapped from,1970-01-01,2099-12-31,
38004207,2000001602,Mapped from,1970-01-01,2099-12-31,
8870,2000001603,Mapped from,1970-01-01,2099-12-31,
21498751,2000001604,Mapped from,1970-01-01,2099-12-31,
8971,2000001605,Mapped from,1970-01-01,2099-12-31,
4134563,2000001606,Mapped from,1970-01-01,2099-12-31,
38004207,2000001607,Mapped from,1970-01-01,2099-12-31,
8717,2000001608,Mapped from,1970-01-01,2099-12-31,
8863,2000001609,Mapped from,1970-01-01,2099-12-31,
4160026,2000001610,Mapped from,1970-01-01,2099-12-31,
4150070,2000001611,Mapped from,1970-01-01,2099-12-31,
4150076,2000001612,Mapped from,1970-01-01,2099-12-31,
4150086,2000001613,Mapped from,1970-01-01,2099-12-31,
